,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
32,32,0.11999999999998678,300,-116.2,0.9360689991955893,0.04282528907060623,,"[7, 5, 4, 15]"
33,33,0.11999999999998678,300,-132.4,0.9341968611971981,0.04846636950969696,,"[4, 5, 4, 9]"
34,34,0.1079999999999881,270,-102.9,0.9323284674748037,0.03216785937547684,,"[11, 6, 4, 22]"
35,35,0.10799999999998855,270,-106.4,0.930463810539854,0.057960394769907,,"[5, 4, 4, 38]"
36,36,0.11199999999998766,280,-116.2,0.9286028829187744,0.05986472964286804,,"[7, 2, 4, 11]"
37,37,0.11599999999998722,290,-113.6,0.9267456771529368,0.07544553279876709,,"[5, 4, 4, 20]"
38,38,0.1079999999999881,270,-110.2,0.9248921857986309,0.08946633338928223,,"[6, 6, 4, 21]"
39,39,0.11599999999998722,290,-105.9,0.9230424014270336,0.05941314995288849,,"[6, 6, 4, 40]"
40,40,0.1079999999999881,270,-100.3,0.9211963166241796,0.07239208370447159,,"[6, 6, 4, 30]"
41,41,0.11999999999998678,300,-102.7,0.9193539239909312,0.05651363730430603,,"[5, 3, 4, 22]"
42,42,0.11599999999998722,290,-123.6,0.9175152161429493,0.07120483368635178,,"[3, 7, 4, 21]"
43,43,0.11599999999998722,290,-117.30000000000001,0.9156801857106633,0.07818333804607391,,"[6, 7, 4, 29]"
44,44,0.11199999999998766,280,-103.7,0.913848825339242,0.06508415192365646,,"[4, 5, 4, 35]"
45,45,0.11599999999998722,290,-105.6,0.9120211276885636,0.06644827127456665,,"[9, 2, 4, 20]"
46,46,0.11199999999998766,280,-105.1,0.9101970854331864,0.05449682101607323,,"[6, 7, 4, 40]"
47,47,0.1079999999999881,270,-134.1,0.9083766912623201,0.0659211054444313,,"[3, 7, 4, 32]"
48,48,0.11199999999998766,280,-87.2,0.9065599378797955,0.0646900087594986,,"[7, 7, 4, 40]"
49,49,0.11999999999998678,300,-108.4,0.9047468180040359,0.07148024439811707,,"[8, 3, 4, 30]"
50,50,0.12399999999998634,310,-147.2,0.9029373243680279,0.05849798768758774,,"[5, 4, 4, 11]"
51,51,0.11599999999998722,290,-168.2,0.9011314497192918,0.05028407275676727,,"[4, 2, 4, 40]"
52,52,0.11199999999998766,280,-131.8,0.8993291868198532,0.047143273055553436,,"[8, 3, 4, 34]"
53,53,0.1079999999999881,270,-103.6,0.8975305284462135,0.08492302894592285,,"[8, 5, 4, 35]"
54,54,0.1079999999999881,270,-124.8,0.8957354673893211,0.06703206896781921,,"[3, 3, 4, 40]"
55,55,0.11199999999998766,280,-109.19999999999999,0.8939439964545425,0.06961322575807571,,"[5, 5, 4, 40]"
56,56,0.11599999999998722,290,-100.1,0.8921561084616334,0.051881395280361176,,"[10, 7, 4, 9]"
57,57,0.1079999999999881,270,-126.19999999999999,0.8903717962447101,0.05718401074409485,,"[7, 8, 4, 25]"
58,58,0.11199999999998766,280,-112.6,0.8885910526522206,0.04537426680326462,,"[6, 5, 3, 37]"
59,59,0.11599999999998722,290,-106.6,0.8868138705469162,0.06174536049365997,,"[5, 6, 4, 40]"
60,60,0.1279999999999859,320,-138.8,0.8850402428058224,0.052995868027210236,,"[4, 4, 4, 25]"
61,61,0.11999999999998678,300,-143.9,0.8832701623202107,0.062547966837883,,"[3, 4, 4, 19]"
62,62,0.1079999999999881,270,-132.4,0.8815036219955703,0.07988736033439636,,"[6, 6, 3, 27]"
63,63,0.11599999999998722,290,-134.0,0.8797406147515792,0.07630456238985062,,"[5, 6, 4, 24]"
64,64,0.12399999999998634,310,-129.7,0.877981133522076,0.07828591763973236,,"[9, 4, 4, 35]"
65,65,0.11199999999998766,280,-108.7,0.8762251712550319,0.06630063056945801,,"[8, 5, 4, 36]"
66,66,0.11599999999998722,290,-101.3,0.8744727209125218,0.04486808180809021,,"[9, 7, 4, 31]"
67,67,0.11599999999998722,290,-131.8,0.8727237754706968,0.052179496735334396,,"[6, 5, 4, 29]"
68,68,0.11199999999998766,280,-119.0,0.8709783279197554,0.056588295847177505,,"[2, 5, 4, 11]"
69,69,0.11199999999998766,280,-96.4,0.8692363712639158,0.07495515793561935,,"[8, 5, 4, 38]"
70,70,0.1120000000001653,280,-112.0,0.867497898521388,0.08970175683498383,,"[11, 6, 4, 28]"
