,Episode,c&c,audio,video
0,0,0.01672000000000004,0.017100000000000008,0.03745000000000024
1,1,0.019659999999997756,0.011549999999999713,0.034119999999999116
2,2,0.014935000000001575,0.009824999999999744,0.026589999999999392
3,3,0.01178500000000847,0.00877500000000099,0.019910000000004313
4,4,0.014530000000007929,0.010800000000001142,0.027400000000004872
5,5,0.015189999999989223,0.013724999999998488,0.030109999999989912
6,6,0.01565499999998917,0.012149999999998662,0.03159999999998975
7,7,0.01674999999998905,0.010424999999998852,0.03347999999998954
8,8,0.01667499999998906,0.013949999999998464,0.028799999999990056
9,9,0.011799999999989607,0.011849999999998695,0.023879999999990596
10,10,0.015024999999989241,0.01597499999999824,0.02729999999999022
11,11,0.013179999999989445,0.009074999999999,0.022889999999990706
12,12,0.015669999999989172,0.009524999999998951,0.027019999999990253
13,13,0.012834999999989483,0.008024999999999116,0.022199999999990783
14,14,0.016539999999989074,0.014024999999998455,0.0374499999999891
15,15,0.012444999999989525,0.009824999999998918,0.021889999999990816
16,16,0.013704999999989387,0.012149999999998662,0.02720999999999023
17,17,0.018369999999988874,0.00989999999999891,0.03556999999998931
18,18,0.015264999999989214,0.01034999999999886,0.028199999999990122
19,19,0.015160000000044726,0.009224999999998984,0.03527000000001076
20,20,0.019195000000078854,0.01672500000001187,0.03519000000004023
21,21,0.014530000000075916,0.008025000000006388,0.022200000000032045
22,22,0.01492000000007616,0.008925000000006955,0.02716000000003517
23,23,0.017905000000078043,0.011100000000008325,0.03665000000004115
24,24,0.014740000000076048,0.00877500000000686,0.025770000000034297
25,25,0.01658500000007721,0.013800000000010026,0.029050000000036363
26,26,0.013510000000075273,0.01425000000001031,0.027980000000035688
27,27,0.01414000000007567,0.010050000000007664,0.03173000000003805
28,28,0.013705000000075396,0.008175000000006483,0.0241900000000333
29,29,0.011335000000073902,0.01177500000000875,0.025770000000034297
30,30,0.012205000000074451,0.00960000000000738,0.027270000000035242
31,31,0.015205000000076341,0.009750000000007475,0.025420000000034075
32,32,0.013060000000074989,0.009300000000007191,0.025470000000034108
33,33,0.015280000000076389,0.012975000000009507,0.030520000000037288
34,34,0.01627000000007701,0.009525000000007333,0.027340000000035284
35,35,0.02036500000007959,0.009675000000007428,0.034660000000039895
36,36,0.01442500000007585,0.009975000000007617,0.023680000000032977
37,37,0.02125000000008015,0.017100000000012106,0.038100000000042065
38,38,0.014725000000069377,0.012300000000009081,0.02484000000003371
39,39,0.013975000000057358,0.008925000000010952,0.02462000000006066
40,40,0.0199150000000611,0.009375000000011235,0.034310000000066766
41,41,0.011815000000055998,0.009375000000011235,0.02362000000006003
42,42,0.011140000000055572,0.00952500000001133,0.021600000000058756
43,43,0.016030000000058654,0.011475000000012558,0.03255000000006566
44,44,0.015220000000058142,0.0117000000000127,0.026790000000062028
45,45,0.01448500000005768,0.013125000000013598,0.028150000000062885
46,46,0.013075000000056791,0.010425000000011897,0.02784000000006269
47,47,0.012955000000056716,0.008625000000010763,0.0246800000000607
48,48,0.011980000000056102,0.008400000000010621,0.025100000000060962
49,49,0.013570000000057102,0.011025000000012275,0.02727000000006233
50,50,0.011650000000055893,0.007950000000010338,0.02065000000005816
51,51,0.015235000000058152,0.010425000000011897,0.029140000000063507
52,52,0.01666000000005905,0.01747500000001634,0.029510000000063742
53,53,0.01283500000005664,0.009900000000011566,0.02306000000005968
54,54,0.014800000000057878,0.007650000000010149,0.03051000000006437
55,55,0.01172500000005594,0.00870000000001081,0.022520000000059336
56,56,0.013900000000057311,0.014850000000014685,0.027740000000062624
57,57,0.012130000000056197,0.01117500000001237,0.021790000000058877
58,58,0.012385000000056356,0.012900000000013456,0.029380000000063657
59,59,0.012805000000056622,0.009000000000011,0.025450000000061184
60,60,0.014650000000057783,0.012300000000013078,0.03043000000006432
61,61,0.015130000000058087,0.01035000000001185,0.029850000000063954
62,62,0.013195000000056866,0.011625000000012653,0.025340000000061112
63,63,0.013030000000056764,0.008850000000010905,0.025950000000061497
64,64,0.016570000000058992,0.013200000000013645,0.030140000000064136
65,65,0.01615000000005873,0.009375000000011235,0.03184000000006521
66,66,0.016330000000058843,0.008925000000010952,0.026930000000062116
67,67,0.012220000000056252,0.008250000000010527,0.022950000000059607
68,68,0.011245000000055638,0.009600000000011377,0.01970000000005756
69,69,0.014695000000057811,0.010650000000012039,0.03138000000006492
70,70,0.012625000000056508,0.017850000000016575,0.02584000000006143
71,71,0.011950000000056082,0.012825000000013409,0.023840000000060167
72,72,0.011965000000056092,0.008475000000010668,0.025420000000061165
73,73,0.015625000000058398,0.008250000000010527,0.02840000000006304
74,74,0.016600000000059012,0.016500000000015724,0.02892000000006337
75,75,0.015205000000058134,0.010275000000011802,0.025450000000061184
76,76,0.014260000000053008,0.008325000000010574,0.02940000000006367
77,77,0.01505499999974642,0.010724999999959017,0.025349999999832562
78,78,0.017034999999741805,0.014324999999950627,0.0323299999998163
79,79,0.015924999999744394,0.009149999999962688,0.029809999999822166
80,80,0.01790499999973978,0.01349999999995255,0.03098999999981942
81,81,0.016284999999743553,0.010274999999960066,0.030409999999820768
82,82,0.013869999999749184,0.007799999999965834,0.030209999999821234
83,83,0.018699999999737926,0.01679999999994486,0.03520999999980958
84,84,0.013554999999749916,0.00832499999996461,0.025859999999831372
85,85,0.014469999999747785,0.010574999999959367,0.02447999999983459
86,86,0.015894999999744464,0.008849999999963387,0.031049999999819278
87,87,0.015309999999745827,0.009074999999962863,0.03241999999981608
88,88,0.017139999999741563,0.018749999999940314,0.02767999999982713
89,89,0.012684999999751945,0.00787499999996566,0.023759999999836266
90,90,0.013959999999748974,0.007574999999966359,0.02986999999982203
91,91,0.010704999999756559,0.009374999999962164,0.01836999999984883
92,92,0.010344999999757399,0.00817499999996496,0.02005999999984489
93,93,0.012324999999752784,0.008774999999963562,0.02169999999984107
94,94,0.015279999999745896,0.009224999999962513,0.028339999999825595
95,95,0.015744999999744814,0.014999999999949054,0.03045999999982065
96,96,0.015504999999745372,0.009149999999962688,0.02755999999982741
97,97,0.012654999999752014,0.009149999999962688,0.0240899999998355
98,98,0.011574999999754532,0.007649999999966184,0.021009999999842675
99,99,0.01568499999974495,0.012149999999955696,0.031059999999819253
100,100,0.01611999999974394,0.008549999999964086,0.03027999999982107
101,101,0.011529999999754636,0.00989999999996094,0.019979999999845077
102,102,0.013689999999749602,0.010724999999959017,0.024919999999833565
103,103,0.01302999999975114,0.007724999999966009,0.026849999999829066
104,104,0.015264999999745931,0.010949999999958493,0.029149999999823706
105,105,0.012264999999752923,0.013574999999952375,0.023759999999836266
106,106,0.014949999999746666,0.009449999999961989,0.026369999999830186
107,107,0.013854999999749217,0.009524999999961814,0.02738999999982781
108,108,0.01850499999973838,0.009674999999961464,0.03337999999981385
109,109,0.013314999999750476,0.010649999999959192,0.023439999999837015
110,110,0.013599999999749812,0.008624999999963912,0.024549999999834426
111,111,0.010809999999756315,0.009374999999962164,0.022139999999840045
112,112,0.011874999999753832,0.008399999999964436,0.01963999999984587
113,113,0.01439499999974796,0.010874999999958668,0.02846999999982529
114,114,0.015699999999744918,0.01177499999995657,0.03101999999981935
115,115,0.01626999999974359,0.00959999999996164,0.028189999999825945
116,116,0.017064999999741738,0.012224999999955521,0.03012999999982142
117,117,0.017589999999740515,0.01522499999994853,0.037689999999803804
118,118,0.015444999999745513,0.014924999999949229,0.028269999999825757
119,119,0.013599999999749812,0.009824999999961115,0.02329999999983734
120,120,0.011349999999755056,0.009974999999960765,0.025359999999832537
121,121,0.014829999999746945,0.010949999999958493,0.028759999999824613
122,122,0.012099999999753308,0.010724999999959017,0.022099999999840136
123,123,0.013854999999749217,0.010499999999959542,0.025519999999832167
124,124,0.01629999999974352,0.010499999999959542,0.025429999999832375
125,125,0.012294999999752854,0.009449999999961989,0.02280999999983848
126,126,0.01566999999974499,0.008999999999963038,0.029569999999822728
127,127,0.011019999999755826,0.012824999999954123,0.022729999999838667
128,128,0.01088499999975614,0.009674999999961464,0.018259999999849084
129,129,0.015459999999745478,0.008849999999963387,0.033239999999814175
130,130,0.01236999999975268,0.011024999999958318,0.023219999999837527
131,131,0.016614999999742787,0.013424999999952725,0.02997999999982177
132,132,0.013809999999749323,0.01162499999995692,0.025169999999832982
133,133,0.01418499999974845,0.007724999999966009,0.024909999999833586
134,134,0.011409999999754917,0.007424999999966708,0.018129999999849388
135,135,0.014529999999747644,0.00974999999996129,0.025609999999831955
136,136,0.012099999999753308,0.008924999999963212,0.023979999999835754
137,137,0.012954999999751315,0.008624999999963912,0.02495999999983347
138,138,0.01466499999974733,0.008474999999964261,0.025619999999831933
139,139,0.010539999999756943,0.01177499999995657,0.019599999999845963
140,140,0.01496499999974663,0.009449999999961989,0.023799999999836174
141,141,0.012294999999752854,0.008999999999963038,0.02193999999984051
142,142,0.012594999999752155,0.008699999999963737,0.028099999999826153
143,143,0.018084999999739358,0.019949999999937518,0.03384999999981275
144,144,0.015189999999746106,0.015299999999948355,0.028089999999826178
145,145,0.011244999999755301,0.008774999999963562,0.01675999999985258
146,146,0.010989999999755895,0.007124999999967407,0.020859999999843025
147,147,0.012219999999753029,0.010199999999960241,0.023699999999836407
148,148,0.01593999999974436,0.011999999999956046,0.030629999999820256
149,149,0.014109999999748624,0.01004999999996059,0.02982999999982212
150,150,0.012039999999753448,0.009074999999962863,0.023589999999836665
151,151,0.013299999999750511,0.01567499999994748,0.026359999999830207
152,152,0.011919999999753728,0.012524999999954822,0.02226999999983974
153,153,0.011934999999750496,0.008399999999964436,0.017679999999850437
154,154,0.01469499999967443,0.008549999999980074,0.028659999999824846
155,155,0.015729999999672017,0.009524999999977801,0.028729999999824684
156,156,0.012789999999678869,0.009824999999977102,0.024849999999833727
157,157,0.013689999999676771,0.011249999999973781,0.02686999999982902
158,158,0.017289999999668383,0.016499999999961545,0.032319999999816315
159,159,0.017769999999667264,0.010574999999975354,0.02683999999982909
160,160,0.015339999999672926,0.015449999999963993,0.029509999999822865
