,Episode,Duration,Slots,Score,Epsilon,min_loss,p1,p2
0,0,0.11220000000000044,187,14.700000000000003,1,3.498560905456543,9,97
1,1,0.11279999999999832,188,16.400000000000002,0.9997,1.4005215167999268,16,86
2,2,0.12179999999999785,203,12.8,0.9994000900000001,1.2612743377685547,10,74
3,3,0.11699999999999794,195,12.4,0.999100269973,1.5623284578323364,5,90
4,4,0.10920000000000485,182,13.400000000000002,0.9988005398920082,1.1546937227249146,7,92
5,5,0.1188000000000089,198,13.8,0.9985008997300406,0.8474250435829163,7,96
6,6,0.12840000000000962,214,15.300000000000002,0.9982013494601216,1.3685578107833862,14,83
7,7,0.11040000000000827,184,14.100000000000001,0.9979018890552837,0.8554846048355103,10,87
8,8,0.13079999999999836,218,14.3,0.9976025184885671,1.2033226490020752,9,93
9,9,0.11879999999998692,198,13.3,0.9973032377330205,0.7405593395233154,7,91
10,10,0.11639999999998718,194,12.4,0.9970040467617006,0.8928074836730957,8,78
11,11,0.11939999999998685,199,13.900000000000002,0.9967049455476722,0.6986712217330933,12,77
12,12,0.11699999999998711,195,15.3,0.9964059340640079,0.7604225873947144,11,95
13,13,0.12959999999998573,216,12.800000000000002,0.9961070122837887,0.931666374206543,10,74
14,14,0.12419999999998632,207,13.4,0.9958081801801036,0.7554528713226318,8,88
15,15,0.12059999999998672,201,14.200000000000001,0.9955094377260496,0.5806530714035034,9,92
16,16,0.11219999999998786,187,15.300000000000004,0.9952107848947318,0.4915260076522827,10,99
17,17,0.11399999999998744,190,12.700000000000001,0.9949122216592634,0.8189265727996826,7,85
18,18,0.11279999999998758,188,16.100000000000005,0.9946137479927657,0.7211712002754211,14,91
19,19,0.11039999999998784,184,14.200000000000003,0.9943153638683679,0.6970479488372803,9,92
20,20,0.12359999999998639,206,13.4,0.9940170692592074,0.7720812559127808,9,84
21,21,0.1253999999999862,209,13.400000000000002,0.9937188641384297,0.9121698141098022,10,80
22,22,0.11999999999998678,200,16.1,0.9934207484791882,0.5641003847122192,14,91
23,23,0.13139999999998553,219,13.0,0.9931227222546445,0.7973693609237671,9,80
24,24,0.11219999999998764,187,14.0,0.9928247854379681,0.5712858438491821,7,98
25,25,0.10979999999998791,183,15.300000000000002,0.9925269380023368,0.6879070997238159,11,95
26,26,0.11759999999998705,196,13.400000000000002,0.9922291799209362,0.6433287858963013,11,76
27,27,0.10979999999998791,183,14.400000000000002,0.9919315111669599,0.6594424247741699,12,82
28,28,0.1343999999999852,224,15.100000000000001,0.9916339317136098,0.6717318892478943,15,77
29,29,0.12059999999998672,201,15.100000000000005,0.9913364415340957,0.5502268075942993,11,93
30,30,0.13379999999998526,223,14.400000000000002,0.9910390406016355,0.5368263721466064,15,70
31,31,0.1061999999999883,177,14.400000000000002,0.990741728889455,0.693893313407898,8,98
32,32,0.12119999999998665,202,16.1,0.9904445063707882,0.2910858988761902,14,91
33,33,0.11880000000001756,198,15.100000000000003,0.990147373018877,0.49104738235473633,11,93
34,34,0.11880000000007485,198,13.900000000000002,0.9898503288069713,0.42932865023612976,8,93
35,35,0.13200000000008316,220,15.900000000000004,0.9895533737083293,0.5306549072265625,17,77
36,36,0.11280000000007107,188,14.0,0.9892565076962169,0.6571944355964661,9,90
37,37,0.11880000000007485,198,14.000000000000004,0.9889597307439081,0.5168511867523193,11,82
38,38,0.11700000000007371,195,13.8,0.988663042824685,0.6109777688980103,10,84
39,39,0.12060000000007598,201,13.400000000000002,0.9883664439118376,0.5575757622718811,10,80
40,40,0.13320000000008392,222,12.0,0.988069933978664,0.46723058819770813,9,70
41,41,0.125400000000079,209,13.600000000000001,0.9877735129984705,0.831802248954773,10,82
42,42,0.12900000000008127,215,14.500000000000002,0.9874771809445709,0.4612277150154114,9,95
43,43,0.12960000000008165,216,12.5,0.9871809377902876,0.4723445773124695,7,83
44,44,0.1200000000000756,200,14.900000000000002,0.9868847835089506,0.5008810758590698,12,87
45,45,0.1392000000000877,232,11.600000000000001,0.9865887180738979,0.36671581864356995,4,86
46,46,0.12900000000008127,215,13.500000000000002,0.9862927414584758,0.2830009460449219,12,73
47,47,0.10860000000006842,181,13.5,0.9859968536360383,0.38203489780426025,7,93
