,Episode,Duration,Slots,Score,Epsilon,min_loss,p1,p2
0,0,0.06300000000000017,105,7.700000000000001,1,796.3075561523438,6,46
1,1,0.060600000000000334,101,8.899999999999999,0.99975,429.3899841308594,8,50
2,2,0.058199999999999016,97,8.8,0.9995000625,341.65948486328125,8,49
3,3,0.0509999999999991,85,8.899999999999999,0.999250187484375,235.17626953125,8,50
4,4,0.058799999999998964,98,8.3,0.9990003749375039,199.76759338378906,9,40
5,5,0.05039999999999911,84,7.300000000000002,0.9987506248437695,144.560302734375,4,50
6,6,0.058799999999998964,98,8.3,0.9985009371875586,94.36571502685547,7,48
7,7,0.05399999999999905,90,8.900000000000002,0.9982513119532618,67.19430541992188,8,50
8,8,0.06660000000000083,111,6.5,0.9980017491252735,58.622222900390625,3,46
9,9,0.06360000000000476,106,8.4,0.9977522486879922,58.82203674316406,9,41
10,10,0.06180000000000463,103,8.9,0.9975028106258202,52.336280822753906,9,46
11,11,0.05820000000000436,97,7.300000000000001,0.9972534349231639,50.61144256591797,5,46
12,12,0.06660000000000499,111,8.399999999999999,0.9970041215644331,49.40799331665039,8,45
13,13,0.053400000000004,89,8.9,0.996754870534042,46.186439514160156,8,50
14,14,0.057600000000004314,96,8.100000000000001,0.9965056818164085,42.81028747558594,8,42
15,15,0.054000000000004045,90,9.8,0.9962565553959545,36.967002868652344,11,47
16,16,0.048000000000003595,80,7.7,0.9960074912571055,40.991092681884766,5,50
17,17,0.05759999999999643,96,9.0,0.9957584893842912,33.119407653808594,9,47
18,18,0.07139999999999214,119,8.8,0.9955095497619452,35.95585250854492,8,49
19,19,0.06659999999999267,111,8.000000000000002,0.9952606723745047,33.21501159667969,6,49
20,20,0.06599999999999273,110,7.900000000000001,0.995011857206411,27.998245239257812,8,40
21,21,0.06599999999999273,110,8.1,0.9947631042421095,26.829072952270508,7,46
22,22,0.058799999999993524,98,8.1,0.994514413466049,24.076547622680664,7,46
23,23,0.058799999999993524,98,7.6000000000000005,0.9942657848626825,26.37375259399414,6,45
24,24,0.05939999999999346,99,8.000000000000002,0.9940172184164668,23.79070472717285,6,49
25,25,0.063599999999993,106,7.800000000000002,0.9937687141118627,23.48806381225586,6,47
26,26,0.06599999999999273,110,7.800000000000001,0.9935202719333348,23.28813934326172,6,47
27,27,0.05639999999999379,94,8.799999999999999,0.9932718918653515,20.336872100830078,9,45
28,28,0.06659999999999267,111,8.0,0.9930235738923852,18.365955352783203,8,41
29,29,0.05699999999999372,95,8.3,0.992775317998912,18.207012176513672,7,48
30,30,0.06479999999999286,108,9.4,0.9925271241694124,16.939836502075195,11,43
31,31,0.07139999999999214,119,5.5,0.99227899238837,13.346158981323242,2,40
32,32,0.063599999999993,106,9.4,0.9920309226402729,13.748432159423828,11,43
33,33,0.06659999999999289,111,9.6,0.9917829149096129,11.274044036865234,11,45
34,34,0.05459999999999399,91,8.600000000000001,0.9915349691808856,11.600914001464844,8,47
35,35,0.07499999999999174,125,7.000000000000001,0.9912870854385903,10.089827537536621,4,47
36,36,0.06839999999999247,114,8.3,0.9910392636672307,9.196027755737305,7,48
37,37,0.055799999999993855,93,7.600000000000001,0.990791503851314,9.126852035522461,5,49
38,38,0.0653999999999928,109,9.900000000000002,0.9905438059753512,7.3660078048706055,12,44
39,39,0.06119999999999326,102,7.800000000000001,0.9902961700238574,7.567793846130371,6,47
40,40,0.06239999999999313,104,8.100000000000001,0.9900485959813514,6.806055545806885,7,46
41,41,0.06419999999999293,107,9.2,0.9898010838323561,5.912856101989746,9,49
42,42,0.05039999999999445,84,7.3000000000000025,0.989553633561398,5.240749359130859,4,50
43,43,0.05699999999999372,95,8.200000000000001,0.9893062451530077,4.765059471130371,7,47
44,44,0.055799999999993855,93,9.3,0.9890589185917195,4.955312252044678,10,46
45,45,0.06959999999999233,116,8.9,0.9888116538620716,4.108310699462891,9,46
46,46,0.07199999999999207,120,8.5,0.9885644509486061,3.3343405723571777,9,42
47,47,0.06239999999999313,104,8.100000000000001,0.988317309835869,2.918619394302368,7,46
48,48,0.063599999999993,106,8.8,0.98807023050841,2.77182674407959,8,49
49,49,0.07019999999999227,117,8.299999999999999,0.9878232129507829,2.6693992614746094,9,40
50,50,0.04859999999999465,81,9.7,0.9875762571475453,1.7491730451583862,10,50
51,51,0.05639999999999379,94,8.000000000000002,0.9873293630832584,1.951209545135498,6,49
52,52,0.06239999999999313,104,7.6000000000000005,0.9870825307424875,1.2698290348052979,7,41
53,53,0.061799999999993194,103,7.800000000000002,0.9868357601098019,1.5218682289123535,6,47
54,54,0.05999999999999339,100,7.500000000000001,0.9865890511697745,1.1526615619659424,5,48
55,55,0.0671999999999926,112,8.600000000000001,0.986342403906982,1.208248257637024,8,47
56,56,0.05699999999999372,95,9.500000000000002,0.9860958183060053,0.7894747257232666,10,48
57,57,0.058799999999993524,98,9.9,0.9858492943514289,0.7447212934494019,12,44
58,58,0.05999999999999339,100,11.100000000000001,0.985602832027841,0.7804366946220398,16,40
59,59,0.05399999999999405,90,9.3,0.9853564313198341,0.7462365627288818,9,50
60,60,0.06479999999999286,108,6.800000000000002,0.9851100922120042,0.6962995529174805,4,45
61,61,0.05819999999999359,97,7.4,0.9848638146889512,0.6732735633850098,5,47
62,62,0.06659999999999267,111,6.800000000000001,0.984617598735279,0.4539371728897095,4,45
63,63,0.061799999999993194,103,8.599999999999998,0.9843714443355952,0.7075564861297607,8,47
64,64,0.07319999999999194,122,7.0,0.9841253514745113,0.6047419905662537,4,47
65,65,0.061200000000026566,102,8.799999999999999,0.9838793201366427,0.7299147844314575,8,49
66,66,0.06300000000003969,105,6.9,0.9836333503066086,0.5063824653625488,4,46
67,67,0.05820000000003667,97,7.000000000000001,0.9833874419690319,0.5130115747451782,4,47
68,68,0.06120000000003856,102,7.400000000000001,0.9831415951085397,0.4872441291809082,5,47
69,69,0.06780000000004271,113,9.0,0.9828958097097626,0.4430888891220093,9,47
70,70,0.05820000000003667,97,9.5,0.9826500857573353,0.6622406244277954,11,44
71,71,0.058800000000037045,98,9.100000000000001,0.9824044232358959,0.465718537569046,9,48
72,72,0.05820000000003667,97,10.600000000000001,0.982158822130087,0.4585898816585541,14,43
73,73,0.05700000000003591,95,7.700000000000002,0.9819132824245544,0.5044411420822144,6,46
74,74,0.07560000000004763,126,11.5,0.9816678041039484,0.43156713247299194,16,44
75,75,0.049800000000031375,83,7.200000000000002,0.9814223871529224,0.4131404161453247,4,49
76,76,0.06240000000003931,104,8.3,0.9811770315561342,0.3962815999984741,8,44
77,77,0.06480000000004082,108,8.299999999999999,0.9809317372982452,0.4311065673828125,8,44
78,78,0.07440000000004687,124,6.8999999999999995,0.9806865043639207,0.4897545278072357,6,38
79,79,0.05820000000003667,97,8.200000000000001,0.9804413327378297,0.3133753836154938,7,47
80,80,0.05700000000003591,95,8.899999999999999,0.9801962224046453,0.3984055519104004,8,50
81,81,0.05400000000003402,90,8.299999999999999,0.9799511733490441,0.3723716735839844,7,48
82,82,0.06660000000004196,111,9.1,0.9797061855557069,0.34991127252578735,9,48
83,83,0.06120000000003856,102,7.3999999999999995,0.979461259009318,0.37193310260772705,6,43
84,84,0.07860000000004952,131,8.9,0.9792163936945657,0.24323150515556335,10,42
85,85,0.05700000000003591,95,8.200000000000001,0.9789715895961421,0.29949480295181274,7,47
86,86,0.06600000000004158,110,8.100000000000001,0.978726846698743,0.3557278513908386,6,50
87,87,0.06600000000004158,110,8.4,0.9784821649870683,0.3354199230670929,7,49
88,88,0.06420000000004045,107,8.1,0.9782375444458216,0.21388228237628937,8,42
89,89,0.05640000000003553,94,7.300000000000002,0.9779929850597101,0.2666267156600952,4,50
90,90,0.061800000000038935,103,8.2,0.9777484868134452,0.257363498210907,8,43
91,91,0.05700000000003591,95,8.100000000000001,0.9775040496917419,0.2498612254858017,6,50
92,92,0.06360000000004007,106,8.000000000000002,0.977259673679319,0.2671249508857727,7,45
93,93,0.061800000000038935,103,9.0,0.9770153587608992,0.2757168114185333,9,47
94,94,0.07140000000004498,119,7.3999999999999995,0.976771104921209,0.27198269963264465,5,47
95,95,0.05520000000003478,92,8.100000000000001,0.9765269121449788,0.31709420680999756,7,46
96,96,0.06060000000003818,101,7.5,0.9762827804169426,0.253460168838501,6,44
97,97,0.058800000000037045,98,8.3,0.9760387097218384,0.29106494784355164,7,48
98,98,0.058800000000037045,98,7.7,0.9757947000444079,0.2523300349712372,5,50
99,99,0.061800000000038935,103,7.2,0.9755507513693968,0.2795937657356262,5,45
100,100,0.06420000000004045,107,9.500000000000002,0.9753068636815545,0.2223728746175766,10,48
101,101,0.06720000000004234,112,9.700000000000003,0.9750630369656341,0.2655943036079407,11,46
102,102,0.06720000000004234,112,7.4,0.9748192712063928,0.21419230103492737,6,43
103,103,0.05520000000003478,92,9.2,0.9745755663885912,0.19673490524291992,9,49
104,104,0.06480000000004082,108,7.6000000000000005,0.9743319224969941,0.2394053041934967,6,45
105,105,0.06900000000004347,115,8.4,0.9740883395163699,0.15923383831977844,8,45
106,106,0.0654000000000412,109,7.5,0.9738448174314908,0.25063955783843994,6,44
107,107,0.05640000000003553,94,8.799999999999999,0.973601356227133,0.21406304836273193,8,49
108,108,0.06420000000004045,107,6.8,0.9733579558880762,0.24956534802913666,4,45
109,109,0.06660000000004196,111,9.500000000000002,0.9731146163991041,0.21522724628448486,11,44
110,110,0.06780000000004271,113,9.400000000000002,0.9728713377450043,0.16113904118537903,11,43
111,111,0.07680000000004839,128,9.700000000000001,0.9726281199105681,0.2179558277130127,11,46
112,112,0.06360000000004007,106,9.000000000000002,0.9723849628805905,0.30104851722717285,9,47
113,113,0.0600000000000378,100,8.9,0.9721418666398703,0.23559266328811646,8,50
114,114,0.06480000000004082,108,9.4,0.9718988311732104,0.20089438557624817,11,43
115,115,0.06900000000004347,115,7.400000000000001,0.9716558564654171,0.20533081889152527,5,47
116,116,0.061800000000038935,103,9.1,0.9714129425013007,0.2647285461425781,9,48
117,117,0.06360000000004007,106,7.300000000000001,0.9711700892656754,0.14805394411087036,4,50
118,118,0.06660000000004196,111,10.0,0.970927296743359,0.19197946786880493,14,37
119,119,0.06720000000004234,112,9.200000000000001,0.9706845649191732,0.20130661129951477,9,49
120,120,0.06240000000003931,104,8.700000000000003,0.9704418937779434,0.16320422291755676,8,48
121,121,0.0546000000000344,91,7.9,0.970199283304499,0.16269314289093018,6,48
122,122,0.05040000000003175,84,7.300000000000001,0.969956733483673,0.218000590801239,4,50
123,123,0.0546000000000344,91,8.3,0.9697142443003021,0.19732794165611267,7,48
124,124,0.06300000000003969,105,8.2,0.969471815739227,0.1887720376253128,7,47
125,125,0.04860000000003062,81,7.300000000000001,0.9692294477852923,0.1837710291147232,4,50
126,126,0.06480000000004082,108,9.300000000000002,0.968987140423346,0.16252143681049347,10,46
127,127,0.06420000000004045,107,7.1,0.9687448936382402,0.2450493574142456,5,44
128,128,0.055800000000035155,93,8.000000000000002,0.9685027074148307,0.17945998907089233,6,49
129,129,0.0738000000000465,123,8.0,0.968260581737977,0.2068578451871872,7,45
130,130,0.05340000000003364,89,8.200000000000001,0.9680185165925426,0.18402349948883057,7,47
131,131,0.0654000000000412,109,8.0,0.9677765119633944,0.20041967928409576,6,49
132,132,0.06300000000003969,105,8.0,0.9675345678354036,0.11023131757974625,6,49
133,133,0.07440000000004687,124,7.700000000000001,0.9672926841934447,0.17011141777038574,6,46
134,134,0.058800000000037045,98,7.4,0.9670508610223963,0.19511795043945312,6,43
135,135,0.0600000000000378,100,8.9,0.9668090983071408,0.1662777215242386,8,50
136,136,0.06360000000004007,106,7.4,0.966567396032564,0.19290412962436676,6,43
137,137,0.05340000000003364,89,8.100000000000001,0.9663257541835559,0.16265541315078735,6,50
138,138,0.05940000000003742,99,7.7,0.96608417274501,0.14423221349716187,5,50
139,139,0.07320000000004612,122,9.4,0.9658426517018238,0.1783057451248169,10,47
140,140,0.06300000000003969,105,7.6000000000000005,0.9656011910388984,0.13936999440193176,5,49
141,141,0.06240000000003931,104,9.3,0.9653597907411388,0.16464726626873016,9,50
142,142,0.06300000000003969,105,8.6,0.9651184507934535,0.1534079611301422,8,47
143,143,0.0600000000000378,100,9.200000000000001,0.9648771711807551,0.17280098795890808,9,49
144,144,0.0654000000000412,109,8.299999999999999,0.9646359518879599,0.14189067482948303,7,48
145,145,0.07620000000004801,127,7.200000000000001,0.964394792899988,0.16792032122612,5,45
146,146,0.06600000000004158,110,8.2,0.964153694201763,0.13600677251815796,8,43
147,147,0.07020000000004423,117,7.9,0.9639126557782126,0.13999687135219574,7,44
148,148,0.06600000000004158,110,7.600000000000001,0.9636716776142681,0.15139950811862946,5,49
149,149,0.07740000000004876,129,6.8,0.9634307596948646,0.17181654274463654,6,37
150,150,0.0546000000000344,91,8.200000000000001,0.9631899020049409,0.15638932585716248,7,47
151,151,0.055800000000035155,93,8.0,0.9629491045294397,0.20730115473270416,6,49
152,152,0.06300000000003969,105,7.4,0.9627083672533073,0.11697471141815186,5,47
153,153,0.06780000000004271,113,8.6,0.962467690161494,0.13769136369228363,8,47
154,154,0.0600000000000378,100,8.6,0.9622270732389537,0.1398254930973053,8,47
155,155,0.05340000000003364,89,7.300000000000001,0.961986516470644,0.1946685016155243,4,50
156,156,0.0600000000000378,100,7.500000000000001,0.9617460198415264,0.12987767159938812,5,48
157,157,0.06360000000004007,106,8.7,0.9615055833365661,0.16582465171813965,8,48
158,158,0.06660000000004196,111,9.2,0.961265206940732,0.11531542241573334,10,45
