,Episode,high,low
0,0,7.26,7.8
1,1,6.09,6.76
2,2,6.32,6.75
3,3,6.0,6.46
4,4,6.1,6.37
5,5,6.19,6.53
6,6,5.96,6.61
7,7,6.25,6.48
8,8,6.19,6.48
9,9,6.23,6.31
10,10,6.09,6.63
11,11,5.91,6.58
12,12,6.07,6.45
13,13,6.13,6.87
14,14,5.97,6.49
15,15,6.04,6.59
16,16,6.15,6.56
17,17,6.0,6.7
18,18,6.28,6.6
19,19,6.08,6.59
20,20,6.06,6.25
21,21,6.25,6.64
22,22,6.08,6.49
23,23,6.15,6.57
24,24,5.95,6.45
25,25,6.27,6.74
26,26,5.84,6.48
27,27,6.09,6.39
28,28,6.32,6.56
29,29,6.2,6.56
30,30,6.1,6.69
31,31,5.93,6.66
32,32,6.07,6.48
33,33,6.22,6.48
34,34,6.13,6.31
35,35,6.14,6.47
36,36,5.99,6.6
37,37,6.18,6.45
38,38,6.05,6.46
39,39,6.09,6.51
40,40,5.96,6.7
41,41,5.98,6.66
42,42,6.29,6.47
43,43,5.96,6.74
44,44,6.03,6.63
45,45,5.91,6.58
46,46,6.01,6.56
47,47,6.08,6.51
48,48,5.95,6.59
49,49,6.01,6.72
50,50,6.09,6.6
51,51,6.07,6.6
52,52,6.35,6.46
53,53,5.92,6.57
54,54,5.96,6.64
55,55,6.02,6.92
56,56,6.13,6.58
57,57,6.01,6.46
58,58,5.97,6.78
59,59,6.02,6.49
60,60,6.29,6.54
61,61,6.19,6.41
62,62,6.13,6.74
63,63,6.12,6.4
64,64,6.1,6.47
65,65,6.15,6.86
66,66,6.06,6.61
67,67,6.15,6.62
68,68,5.97,6.41
69,69,6.16,6.76
70,70,6.39,6.47
71,71,6.03,6.71
72,72,6.03,6.56
73,73,6.07,6.61
74,74,6.03,6.57
75,75,6.11,6.59
76,76,6.1,6.78
77,77,6.17,6.59
78,78,5.87,6.5
79,79,6.12,6.6
80,80,6.21,6.51
81,81,6.12,6.42
82,82,6.22,6.64
83,83,6.02,6.6
84,84,6.37,6.5
85,85,5.99,6.57
86,86,6.12,6.87
87,87,6.11,6.72
88,88,6.06,6.39
89,89,6.12,6.34
90,90,6.11,6.71
91,91,5.82,6.73
92,92,6.1,6.64
93,93,6.16,6.57
94,94,5.99,6.54
95,95,6.07,6.61
96,96,6.22,6.55
97,97,6.24,6.58
98,98,5.94,6.77
99,99,6.06,6.52
100,100,6.08,6.65
101,101,6.11,6.56
102,102,5.96,6.76
103,103,6.0,6.58
104,104,5.87,6.62
105,105,5.9,6.35
106,106,6.09,6.55
107,107,5.9,6.76
108,108,6.15,6.58
109,109,6.05,6.64
110,110,6.15,6.58
111,111,6.21,6.38
112,112,6.06,6.76
113,113,6.27,6.5
114,114,6.27,6.69
115,115,6.25,6.48
116,116,5.92,6.68
117,117,6.29,6.43
118,118,6.11,6.7
119,119,6.3,6.54
120,120,6.22,6.77
121,121,6.1,6.6
122,122,6.1,6.68
123,123,6.19,6.57
124,124,6.15,6.65
125,125,5.99,6.45
126,126,6.07,6.6
127,127,6.11,6.77
128,128,6.24,6.56
129,129,6.05,6.54
130,130,5.86,6.48
131,131,6.1,6.82
132,132,6.2,6.49
133,133,5.87,6.43
134,134,5.98,6.51
135,135,6.1,6.62
136,136,6.3,6.48
137,137,6.17,6.67
138,138,6.25,6.61
139,139,6.17,6.49
140,140,6.07,6.57
141,141,6.0,6.87
142,142,6.17,6.71
143,143,6.0,6.58
144,144,6.02,6.62
145,145,5.87,6.64
146,146,6.16,6.49
147,147,6.09,6.53
148,148,6.09,6.62
149,149,6.2,6.66
150,150,6.1,6.75
151,151,6.22,6.78
152,152,5.94,6.72
153,153,6.08,6.79
154,154,6.15,6.33
155,155,6.19,6.69
156,156,6.17,6.39
157,157,6.24,6.83
158,158,6.06,6.53
159,159,6.23,6.31
160,160,6.09,6.53
161,161,6.1,6.71
162,162,6.3,6.7
163,163,6.16,6.49
164,164,5.92,6.7
165,165,6.02,6.62
166,166,5.91,6.65
167,167,6.04,6.47
168,168,6.11,6.83
169,169,6.22,6.55
170,170,5.99,6.68
171,171,6.05,6.62
172,172,6.11,6.63
173,173,6.14,6.47
174,174,6.14,6.59
175,175,5.98,6.74
176,176,6.02,6.7
177,177,5.99,6.71
178,178,6.17,6.7
179,179,6.17,6.36
180,180,6.16,6.69
181,181,5.91,6.85
182,182,6.13,6.74
183,183,6.18,6.76
184,184,6.01,6.56
185,185,5.97,6.61
186,186,6.06,6.65
187,187,6.29,6.44
188,188,5.92,6.46
189,189,6.05,6.49
190,190,6.18,6.5
191,191,6.08,6.62
192,192,6.03,6.69
193,193,6.18,6.55
194,194,6.11,6.23
195,195,6.32,6.74
196,196,6.19,6.59
197,197,6.04,6.61
198,198,6.28,6.54
199,199,5.92,6.62
200,200,5.86,6.74
201,201,6.02,6.65
202,202,5.99,6.69
203,203,6.15,6.62
204,204,6.17,6.6
205,205,6.09,6.64
206,206,6.04,6.66
207,207,6.42,6.6
208,208,6.08,6.48
209,209,5.93,6.73
210,210,6.24,6.31
211,211,6.22,6.57
212,212,5.98,6.63
213,213,6.04,6.89
214,214,6.11,6.53
215,215,6.12,6.56
216,216,6.07,6.66
217,217,6.04,6.71
218,218,6.2,6.74
219,219,6.14,6.56
220,220,6.12,6.77
221,221,6.13,6.83
222,222,5.97,6.66
223,223,5.94,6.75
224,224,6.05,6.67
225,225,6.09,6.66
226,226,6.24,6.32
227,227,6.04,6.6
228,228,6.08,6.69
229,229,6.17,6.48
230,230,6.1,6.57
231,231,6.05,6.66
232,232,6.16,6.51
233,233,6.0,6.62
234,234,5.99,6.31
235,235,6.16,6.62
236,236,6.07,6.61
237,237,6.03,6.84
238,238,6.08,6.66
239,239,6.25,6.44
240,240,6.03,6.76
241,241,6.1,6.81
242,242,6.3,6.77
243,243,6.08,6.76
244,244,5.89,6.82
245,245,6.03,6.6
246,246,6.14,6.79
247,247,6.06,6.75
248,248,5.94,6.7
249,249,6.09,6.61
250,250,6.14,6.9
251,251,6.16,6.74
252,252,6.15,6.55
253,253,6.17,6.64
254,254,6.16,6.59
255,255,6.22,6.71
256,256,6.19,6.7
257,257,6.0,6.63
258,258,5.96,6.55
259,259,6.13,6.38
260,260,6.27,6.56
261,261,6.1,6.62
262,262,6.0,6.56
263,263,6.04,6.61
264,264,6.06,6.61
265,265,5.87,6.77
266,266,5.99,6.69
267,267,6.09,6.77
268,268,6.11,6.58
269,269,6.01,6.45
270,270,6.05,6.74
271,271,6.21,6.42
272,272,6.11,6.48
273,273,6.07,6.6
274,274,6.11,6.75
275,275,6.17,6.67
276,276,6.0,6.68
277,277,6.11,6.66
278,278,6.27,6.49
279,279,6.06,6.6
280,280,6.13,6.5
281,281,6.06,6.69
282,282,6.09,6.65
283,283,6.1,6.36
284,284,5.88,6.56
285,285,6.14,6.69
286,286,6.03,6.49
287,287,6.01,6.48
288,288,6.01,6.56
289,289,6.21,6.48
290,290,6.18,6.53
291,291,6.0,6.49
292,292,6.26,6.52
293,293,6.12,6.53
294,294,6.1,6.66
295,295,6.18,6.5
296,296,6.29,6.6
297,297,6.21,6.33
298,298,6.11,6.37
299,299,6.12,6.22
300,300,6.37,6.36
301,301,6.09,6.56
302,302,6.06,6.48
303,303,6.06,6.39
304,304,6.1,6.42
305,305,5.93,6.49
306,306,5.79,6.53
307,307,6.16,6.37
308,308,6.1,6.67
309,309,6.25,6.3
310,310,6.09,6.47
311,311,6.08,6.51
312,312,6.21,6.53
313,313,5.85,6.54
314,314,6.15,6.55
315,315,6.05,6.72
316,316,6.0,6.79
317,317,6.02,6.55
