,Slots,Score,p1,p2
0,330,34.28999999999999,40,89
1,330,35.19,40,98
2,330,34.69,40,93
3,330,34.78999999999999,40,94
4,330,34.28999999999999,39,95
5,330,34.38999999999999,40,90
6,330,34.69,40,93
7,330,35.089999999999996,40,97
8,330,34.489999999999995,40,91
9,330,34.88999999999999,40,95
