,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
78,78,0.11200000000023635,280,-40.89999999999999,0.7887102894272789,0.012017771601676941,,"[10, 5, 4, 7]"
79,79,0.1160000000002448,290,-53.8,0.7863441585589971,0.011647037230432034,,"[6, 5, 4, 8]"
80,80,0.1160000000002448,290,-41.9,0.78398512608332,0.011889594607055187,,"[6, 6, 4, 14]"
81,81,0.12000000000025324,300,-41.8,0.7816331707050701,0.01206822320818901,,"[4, 5, 4, 7]"
82,82,0.12000000000025324,300,-42.3,0.7792882711929549,0.01240505650639534,,"[6, 4, 4, 9]"
83,83,0.11200000000023635,280,-56.599999999999994,0.776950406379376,0.011523050256073475,,"[4, 4, 4, 4]"
84,84,0.1160000000002448,290,-46.0,0.7746195551602378,0.010956866666674614,,"[4, 7, 4, 6]"
85,85,0.1160000000002448,290,-44.3,0.7722956964947572,0.012432853691279888,,"[8, 5, 4, 6]"
86,86,0.10800000000022791,270,-35.1,0.7699788094052729,0.012587209232151508,,"[5, 2, 4, 18]"
87,87,0.11200000000023635,280,-47.599999999999994,0.767668872977057,0.011129389517009258,,"[4, 7, 4, 6]"
88,88,0.11200000000023635,280,-45.400000000000006,0.7653658663581259,0.01089230366051197,,"[5, 2, 4, 11]"
89,89,0.11200000000023635,280,-42.6,0.7630697687590515,0.010940403677523136,,"[4, 5, 4, 11]"
90,90,0.1160000000002448,290,-54.0,0.7607805594527743,0.01010898221284151,,"[2, 2, 4, 9]"
91,91,0.11200000000023635,280,-64.4,0.7584982177744161,0.011100932955741882,,"[1, 4, 4, 9]"
92,92,0.1160000000002448,290,-47.2,0.7562227231210928,0.011081922799348831,,"[3, 3, 4, 11]"
93,93,0.1160000000002448,290,-42.3,0.7539540549517295,0.010193636640906334,,"[1, 3, 4, 6]"
94,94,0.1160000000002448,290,-42.0,0.7516921927868743,0.010507188737392426,,"[13, 1, 4, 11]"
95,95,0.10800000000022791,270,-44.699999999999996,0.7494371162085136,0.011219849810004234,,"[5, 4, 4, 8]"
96,96,0.12800000000027012,320,-67.6,0.747188804859888,0.011218292638659477,,"[2, 1, 4, 6]"
97,97,0.1160000000002448,290,-44.8,0.7449472384453084,0.010341538116335869,,"[4, 4, 4, 11]"
98,98,0.11200000000023635,280,-60.5,0.7427123967299725,0.012097500264644623,,"[5, 6, 4, 7]"
99,99,0.12400000000026168,310,-61.900000000000006,0.7404842595397826,0.011480982415378094,,"[0, 3, 4, 7]"
100,100,0.12000000000025324,300,-71.19999999999999,0.7382628067611632,0.01173187792301178,,"[8, 4, 4, 15]"
101,101,0.11200000000023635,280,-35.599999999999994,0.7360480183408797,0.011641938239336014,,"[7, 3, 4, 13]"
102,102,0.10800000000022791,270,-37.7,0.7338398742858571,0.012076986953616142,,"[6, 3, 4, 10]"
103,103,0.11200000000023635,280,-38.0,0.7316383546629995,0.011525694280862808,,"[6, 6, 4, 6]"
104,104,0.12000000000025324,300,-38.9,0.7294434395990105,0.012857794761657715,,"[8, 7, 4, 15]"
105,105,0.11200000000023635,280,-38.699999999999996,0.7272551092802134,0.011714041233062744,,"[6, 5, 4, 12]"
106,106,0.10800000000022791,270,-52.4,0.7250733439523728,0.0118706114590168,,"[4, 5, 4, 8]"
107,107,0.1160000000002448,290,-55.8,0.7228981239205157,0.011260362342000008,,"[0, 4, 4, 7]"
108,108,0.11200000000023635,280,-38.9,0.7207294295487541,0.012821312993764877,,"[2, 5, 4, 6]"
109,109,0.11200000000023635,280,-54.0,0.7185672412601078,0.010547474958002567,,"[5, 2, 4, 19]"
110,110,0.10800000000022791,270,-34.8,0.7164115395363275,0.011978015303611755,,"[11, 3, 4, 10]"
111,111,0.1160000000002448,290,-40.099999999999994,0.7142623049177186,0.009854188188910484,,"[10, 5, 4, 8]"
112,112,0.10800000000022791,270,-35.3,0.7121195180029655,0.012752244248986244,,"[8, 2, 4, 8]"
113,113,0.11200000000023635,280,-53.099999999999994,0.7099831594489566,0.013152922503650188,,"[7, 3, 4, 5]"
114,114,0.12400000000026168,310,-46.5,0.7078532099706097,0.012353368103504181,,"[3, 3, 4, 7]"
115,115,0.10800000000022791,270,-40.5,0.7057296503406979,0.01144503615796566,,"[5, 6, 4, 13]"
116,116,0.11200000000023635,280,-41.3,0.7036124613896758,0.012347106821835041,,"[6, 5, 4, 6]"
117,117,0.1160000000002448,290,-34.8,0.7015016240055068,0.01113143190741539,,"[2, 6, 4, 4]"
118,118,0.12000000000025324,300,-35.5,0.6993971191334902,0.010797337628901005,,"[8, 4, 4, 6]"
119,119,0.11200000000023635,280,-41.0,0.6972989277760897,0.012040998786687851,,"[7, 4, 4, 9]"
120,120,0.11200000000023635,280,-41.0,0.6952070309927615,0.012684212066233158,,"[8, 3, 4, 6]"
121,121,0.11200000000023635,280,-46.5,0.6931214098997832,0.014139773324131966,,"[2, 5, 4, 15]"
122,122,0.10800000000022791,270,-45.8,0.6910420456700839,0.01098993793129921,,"[5, 2, 4, 7]"
123,123,0.11200000000023635,280,-36.1,0.6889689195330736,0.011773486621677876,,"[8, 3, 4, 9]"
124,124,0.1160000000002448,290,-40.2,0.6869020127744744,0.011403942480683327,,"[8, 5, 4, 12]"
125,125,0.10800000000022791,270,-35.4,0.684841306736151,0.010556681081652641,,"[9, 2, 4, 13]"
126,126,0.11200000000023635,280,-41.1,0.6827867828159425,0.011235438287258148,,"[7, 5, 4, 12]"
127,127,0.11200000000023635,280,-44.0,0.6807384224674947,0.009970098733901978,,"[5, 4, 4, 16]"
128,128,0.10800000000022791,270,-40.9,0.6786962072000923,0.010849691927433014,,"[9, 5, 4, 16]"
129,129,0.1160000000002448,290,-50.6,0.676660118578492,0.011294574476778507,,"[5, 5, 4, 15]"
130,130,0.1160000000002448,290,-46.0,0.6746301382227565,0.010505056008696556,,"[5, 4, 4, 7]"
131,131,0.12800000000027012,320,-63.3,0.6726062478080883,0.0108149703592062,,"[3, 4, 4, 4]"
132,132,0.1160000000002448,290,-44.6,0.6705884290646641,0.011065155267715454,,"[0, 3, 4, 7]"
133,133,0.11200000000023635,280,-40.900000000000006,0.66857666377747,0.011966899037361145,,"[4, 3, 4, 5]"
134,134,0.11200000000023635,280,-46.5,0.6665709337861376,0.012076297774910927,,"[3, 4, 4, 27]"
135,135,0.10800000000022791,270,-36.2,0.6645712209847792,0.009581983089447021,,"[5, 3, 4, 10]"
136,136,0.11200000000023635,280,-56.4,0.6625775073218249,0.010652659460902214,,"[6, 3, 4, 8]"
137,137,0.1160000000002448,290,-44.300000000000004,0.6605897747998594,0.011799938976764679,,"[4, 5, 4, 10]"
138,138,0.12000000000025324,300,-46.9,0.6586080054754598,0.011070000007748604,,"[2, 4, 4, 22]"
139,139,0.11200000000023635,280,-55.1,0.6566321814590335,0.012874837964773178,,"[4, 2, 4, 8]"
140,140,0.1159999999997634,290,-38.8,0.6546622849146564,0.010832718573510647,,"[2, 7, 4, 9]"
141,141,0.11199999999973898,280,-36.099999999999994,0.6526982980599124,0.011380679905414581,,"[8, 5, 4, 19]"
142,142,0.1079999999997483,270,-25.9,0.6507402031657327,0.010561713948845863,,"[13, 4, 4, 7]"
143,143,0.12399999999971101,310,-39.5,0.6487879825562355,0.011447043158113956,,"[8, 4, 4, 8]"
