,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
0,0,0.11199999999999954,280,-100.4,0.998,0.1463111937046051,,"[7, 6, 4, 40]"
1,1,0.11600000000000288,290,-135.60000000000002,0.996004,0.1587516963481903,,"[3, 7, 4, 38]"
2,2,0.1080000000000031,270,-108.7,0.994011992,0.13749529421329498,,"[10, 6, 4, 40]"
3,3,0.11200000000000321,280,-136.3,0.992023968016,0.13853628933429718,,"[3, 5, 4, 21]"
4,4,0.11199999999999488,280,-117.9,0.990039920079968,0.12468541413545609,,"[5, 6, 4, 23]"
5,5,0.11599999999998722,290,-101.9,0.9880598402398081,0.10654736310243607,,"[5, 3, 4, 35]"
6,6,0.11199999999998766,280,-100.3,0.9860837205593285,0.14629054069519043,,"[14, 6, 4, 34]"
7,7,0.11599999999998722,290,-100.7,0.9841115531182099,0.10560798645019531,,"[11, 3, 4, 38]"
8,8,0.11199999999998766,280,-99.9,0.9821433300119734,0.11292766034603119,,"[7, 7, 4, 27]"
9,9,0.11199999999998766,280,-80.9,0.9801790433519495,0.09800249338150024,,"[15, 7, 4, 40]"
10,10,0.11599999999998722,290,-89.9,0.9782186852652456,0.0918457955121994,,"[4, 7, 4, 39]"
11,11,0.11199999999998766,280,-82.1,0.976262247894715,0.06837183237075806,,"[14, 5, 4, 40]"
12,12,0.11199999999998766,280,-91.8,0.9743097233989256,0.09334790706634521,,"[11, 5, 4, 40]"
13,13,0.11199999999998766,280,-106.1,0.9723611039521278,0.07435961812734604,,"[10, 5, 4, 30]"
14,14,0.11199999999998766,280,-123.1,0.9704163817442236,0.08934833854436874,,"[6, 4, 4, 31]"
15,15,0.1079999999999881,270,-111.0,0.9684755489807352,0.07387132942676544,,"[9, 6, 4, 18]"
16,16,0.11199999999998766,280,-98.6,0.9665385978827737,0.07256315648555756,,"[4, 7, 4, 32]"
17,17,0.1079999999999881,270,-77.9,0.9646055206870082,0.08389338105916977,,"[1, 6, 4, 35]"
18,18,0.1079999999999881,270,-79.30000000000001,0.9626763096456342,0.09787897765636444,,"[10, 5, 4, 30]"
19,19,0.1079999999999881,270,-109.69999999999999,0.9607509570263429,0.07189464569091797,,"[7, 4, 4, 40]"
20,20,0.11199999999998766,280,-90.6,0.9588294551122902,0.07129508256912231,,"[7, 7, 4, 30]"
21,21,0.1079999999999881,270,-121.9,0.9569117962020657,0.07560630142688751,,"[10, 4, 4, 40]"
22,22,0.11199999999998766,280,-91.5,0.9549979726096616,0.07526622712612152,,"[8, 7, 4, 36]"
23,23,0.11199999999998766,280,-114.7,0.9530879766644422,0.06399866193532944,,"[9, 6, 4, 39]"
24,24,0.11199999999998766,280,-91.4,0.9511818007111134,0.07726067304611206,,"[13, 4, 4, 36]"
25,25,0.1079999999999881,270,-70.1,0.9492794371096911,0.08201111853122711,,"[11, 5, 4, 35]"
26,26,0.11199999999998766,280,-112.0,0.9473808782354717,0.06838452816009521,,"[8, 5, 4, 40]"
27,27,0.1079999999999881,270,-91.3,0.9454861164790007,0.07311191409826279,,"[12, 6, 4, 27]"
28,28,0.11599999999998722,290,-117.8,0.9435951442460427,0.060387711971998215,,"[12, 5, 4, 40]"
