,Episode,Duration,Slots,Score,Epsilon,min_loss,success_rate
0,0,0.20879999999999904,348,-220.1,0.999,99999,"[2, 1, 1, 20]"
1,1,0.20879999999999632,348,-227.70000000000002,0.998001,769220.3125,"[3, 4, 1, 20]"
2,2,0.20880000000000803,348,-221.2,0.997002999,862543.125,"[0, 1, 1, 20]"
3,3,0.20880000000001564,348,-235.8,0.996005996001,726443.0,"[7, 3, 0, 20]"
4,4,0.20880000000000742,348,-223.4,0.995009990004999,788141.75,"[4, 2, 1, 20]"
5,5,0.2069999999999772,345,-221.6,0.994014980014994,749548.25,"[3, 3, 1, 20]"
6,6,0.2105999999999768,351,-250.4,0.993020965034979,788285.75,"[8, 4, 0, 20]"
7,7,0.2123999999999766,354,-238.0,0.9920279440699441,791039.0,"[5, 0, 0, 20]"
8,8,0.208799999999977,348,-227.8,0.9910359161258742,333998.6875,"[7, 1, 1, 20]"
9,9,0.20879999999997723,348,-233.1,0.9900448802097482,666966.0,"[7, 1, 1, 20]"
10,10,0.208799999999977,348,-280.8,0.9890548353295385,664396.5,"[4, 1, 0, 20]"
11,11,0.2069999999999772,345,-222.39999999999998,0.988065780494209,373034.59375,"[3, 1, 1, 20]"
12,12,0.208799999999977,348,-254.89999999999998,0.9870777147137147,680527.125,"[7, 4, 0, 20]"
13,13,0.208799999999977,348,-235.5,0.986090636999001,668175.8125,"[4, 2, 1, 20]"
14,14,0.2069999999999772,345,-210.4,0.9851045463620021,572390.25,"[2, 2, 1, 20]"
15,15,0.2069999999999772,345,-193.2,0.98411944181564,420107.0,"[8, 2, 1, 20]"
16,16,0.208799999999977,348,-234.7,0.9831353223738244,628629.25,"[12, 3, 0, 20]"
17,17,0.2105999999999768,351,-282.5,0.9821521870514506,563088.0625,"[2, 3, 0, 20]"
18,18,0.2069999999999772,345,-230.9,0.9811700348643991,402439.40625,"[2, 1, 0, 20]"
19,19,0.21240000000010806,354,-241.70000000000002,0.9801888648295347,649903.625,"[7, 0, 0, 20]"
20,20,0.20880000000013155,348,-251.4,0.9792086759647052,506294.75,"[2, 2, 0, 20]"
21,21,0.21240000000013382,354,-203.5,0.9782294672887405,466538.4375,"[5, 3, 1, 20]"
22,22,0.20880000000013155,348,-223.70000000000002,0.9772512378214517,387569.4375,"[4, 2, 1, 20]"
23,23,0.21060000000013268,351,-229.10000000000002,0.9762739865836303,500459.59375,"[5, 2, 1, 20]"
24,24,0.20880000000013155,348,-205.2,0.9752977125970467,536253.125,"[6, 4, 1, 20]"
25,25,0.20880000000013155,348,-225.1,0.9743224148844496,423348.6875,"[3, 2, 1, 20]"
26,26,0.20880000000013155,348,-227.2,0.9733480924695651,400952.375,"[4, 3, 1, 20]"
27,27,0.21060000000013268,351,-190.2,0.9723747443770956,369146.71875,"[9, 0, 1, 20]"
28,28,0.21240000000013382,354,-244.9,0.9714023696327185,476193.65625,"[5, 2, 0, 20]"
29,29,0.20880000000013155,348,-194.3,0.9704309672630859,413663.1875,"[2, 4, 1, 20]"
30,30,0.20880000000013155,348,-240.1,0.9694605362958227,456242.125,"[3, 3, 1, 20]"
31,31,0.21060000000013268,351,-229.0,0.9684910757595269,403565.59375,"[2, 2, 1, 20]"
32,32,0.21060000000013268,351,-232.0,0.9675225846837673,344303.78125,"[2, 4, 1, 20]"
33,33,0.20880000000013155,348,-257.6,0.9665550620990835,281838.3125,"[4, 1, 0, 20]"
34,34,0.21060000000013268,351,-223.3,0.9655885070369844,378289.0,"[4, 1, 1, 20]"
35,35,0.20880000000013155,348,-212.5,0.9646229185299474,340800.9375,"[3, 2, 1, 20]"
36,36,0.20880000000013155,348,-198.5,0.9636582956114175,319963.625,"[6, 7, 1, 20]"
37,37,0.21060000000013268,351,-270.7,0.9626946373158061,416259.6875,"[4, 3, 0, 20]"
38,38,0.2070000000001304,345,-216.5,0.9617319426784903,326617.53125,"[5, 4, 1, 20]"
39,39,0.21060000000013268,351,-239.60000000000002,0.9607702107358118,313200.46875,"[4, 0, 1, 20]"
40,40,0.20880000000013155,348,-236.0,0.959809440525076,397387.96875,"[4, 2, 1, 20]"
41,41,0.2070000000001304,345,-202.10000000000002,0.9588496310845509,283759.46875,"[3, 2, 1, 20]"
42,42,0.20880000000013155,348,-222.0,0.9578907814534664,300620.71875,"[3, 1, 1, 20]"
43,43,0.20880000000013155,348,-249.1,0.9569328906720129,293112.65625,"[3, 4, 0, 20]"
44,44,0.20880000000013155,348,-221.5,0.9559759577813409,366570.5625,"[7, 2, 1, 20]"
45,45,0.20880000000013155,348,-206.89999999999998,0.9550199818235596,326673.0625,"[8, 1, 1, 20]"
46,46,0.2070000000001304,345,-241.5,0.9540649618417361,289812.03125,"[2, 2, 0, 20]"
47,47,0.21060000000013268,351,-238.3,0.9531108968798944,339771.8125,"[6, 4, 0, 20]"
48,48,0.21060000000013268,351,-247.49999999999997,0.9521577859830145,207872.25,"[4, 2, 1, 20]"
49,49,0.20880000000013155,348,-220.89999999999998,0.9512056281970315,218724.0625,"[3, 1, 1, 20]"
50,50,0.20880000000013155,348,-234.3,0.9502544225688344,241360.96875,"[4, 1, 1, 20]"
51,51,0.20880000000013155,348,-206.29999999999998,0.9493041681462656,199056.59375,"[4, 2, 1, 20]"
52,52,0.20880000000013155,348,-195.6,0.9483548639781193,242168.578125,"[7, 3, 1, 20]"
53,53,0.20520000000012928,342,-220.39999999999998,0.9474065091141411,262702.3125,"[6, 0, 1, 20]"
54,54,0.20880000000013155,348,-235.2,0.946459102605027,197351.59375,"[0, 2, 1, 20]"
55,55,0.21240000000013382,354,-274.1,0.9455126435024219,182931.0,"[4, 2, 0, 20]"
56,56,0.2070000000001304,345,-248.0,0.9445671308589195,166662.21875,"[4, 1, 0, 20]"
