,Episode,Time,Final step,Score,Epsilon,Min_loss
0,0,0.4000000000000003,80,-257,0.999,0.2333032637834549
1,1,0.40499999999996644,81,-217,0.999,0.21524176001548767
2,2,0.4049999999999555,81,-159,0.999,0.13387593626976013
3,3,0.4049999999999554,81,-138,0.999,0.25350886583328247
4,4,0.4049999999999643,81,-276,0.999,0.13360315561294556
5,5,0.4000000000001336,80,-303,0.999,0.26711881160736084
6,6,0.4000000000001336,80,-281,0.999,0.13943269848823547
7,7,0.4000000000001336,80,-152,0.999,0.20707917213439941
8,8,0.4000000000001336,80,79,0.999,0.3215949535369873
9,9,0.4000000000001154,80,-161,0.999,0.2577759921550751
10,10,0.40499999999977554,81,72,0.999,0.21937306225299835
11,11,0.40499999999977554,81,-255,0.999,0.17423465847969055
12,12,0.40499999999977554,81,81,0.999,0.23024140298366547
13,13,0.40499999999977554,81,-84,0.999,0.277756929397583
14,14,0.40499999999977554,81,-4,0.999,0.20652270317077637
15,15,0.40499999999977554,81,-57,0.999,0.1902220994234085
16,16,0.40499999999977554,81,15,0.999,0.2633005976676941
17,17,0.40499999999977554,81,7,0.999,0.18528997898101807
18,18,0.40499999999977554,81,-15,0.999,0.22135472297668457
19,19,0.4049999999998999,81,-202,0.999,0.23201704025268555
20,20,0.40000000000048885,80,-59,0.999,0.1540876179933548
21,21,0.40000000000048885,80,-36,0.999,0.2377353459596634
22,22,0.40000000000048885,80,-74,0.999,0.15200650691986084
23,23,0.40000000000048885,80,-53,0.999,0.22830480337142944
24,24,0.40000000000048885,80,-55,0.999,0.10214449465274811
25,25,0.40000000000048885,80,-180,0.999,0.1635744869709015
26,26,0.40000000000048885,80,-179,0.999,0.21145504713058472
27,27,0.40000000000048885,80,-232,0.999,0.2091369777917862
28,28,0.40000000000048885,80,53,0.999,0.12019069492816925
29,29,0.40000000000048885,80,-24,0.999,0.1920953392982483
30,30,0.40000000000048885,80,-496,0.999,0.18117618560791016
31,31,0.40000000000048885,80,-1,0.998001,0.19679760932922363
32,32,0.40000000000048885,80,-17,0.998001,0.13731072843074799
33,33,0.40000000000048885,80,-70,0.998001,0.22389718890190125
34,34,0.40000000000048885,80,82,0.998001,0.2134704887866974
35,35,0.40000000000048885,80,-181,0.998001,0.20518508553504944
36,36,0.40000000000048885,80,-312,0.998001,0.22856438159942627
37,37,0.40000000000048885,80,-56,0.998001,0.13765166699886322
38,38,0.40000000000048885,80,24,0.998001,0.19572632014751434
39,39,0.4000000000002384,80,31,0.998001,0.24824431538581848
40,40,0.4049999999990561,81,-89,0.998001,0.21044319868087769
41,41,0.4049999999990561,81,-115,0.998001,0.16959074139595032
42,42,0.4049999999990561,81,-140,0.998001,0.22869227826595306
43,43,0.4049999999990561,81,-82,0.998001,0.17369014024734497
44,44,0.4049999999990561,81,-101,0.998001,0.1737833023071289
45,45,0.4049999999990561,81,-186,0.998001,0.1756269335746765
46,46,0.4049999999990561,81,-116,0.998001,0.24496695399284363
47,47,0.4049999999990561,81,-176,0.998001,0.19259466230869293
