,Episode,Time,Final step,Score,Epsilon,Min_loss
48,48,0.4049999999990561,81,26,0.998001,0.2875211238861084
49,49,0.4049999999990561,81,-138,0.998001,0.1642870157957077
50,50,0.4049999999990561,81,-194,0.998001,0.19711701571941376
51,51,0.4049999999990561,81,114,0.998001,0.23335309326648712
52,52,0.4049999999990561,81,-232,0.998001,0.11006932705640793
53,53,0.4049999999990561,81,-171,0.998001,0.2630821168422699
54,54,0.4049999999990561,81,112,0.998001,0.19871535897254944
55,55,0.4049999999990561,81,-592,0.998001,0.2100486159324646
56,56,0.4049999999990561,81,-84,0.998001,0.08035092055797577
57,57,0.4049999999990561,81,-209,0.998001,0.2617342472076416
58,58,0.4049999999990561,81,-3,0.998001,0.21836447715759277
59,59,0.4049999999990561,81,73,0.998001,0.12594258785247803
60,60,0.4049999999990561,81,-149,0.998001,0.18297117948532104
61,61,0.4049999999990561,81,-64,0.998001,0.2878532409667969
62,62,0.4049999999990561,81,90,0.9940149800149941,0.23129239678382874
63,63,0.4049999999990561,81,94,0.9940149800149941,0.1620568484067917
64,64,0.4049999999990561,81,-137,0.9940149800149941,0.3290490508079529
65,65,0.4049999999990561,81,-23,0.9940149800149941,0.10625723004341125
66,66,0.4049999999990561,81,-1,0.9940149800149941,0.18519386649131775
67,67,0.4049999999990561,81,-40,0.9940149800149941,0.22892162203788757
68,68,0.4049999999990561,81,-105,0.9940149800149941,0.12244059145450592
69,69,0.4049999999990561,81,6,0.9940149800149941,0.21019253134727478
70,70,0.4049999999990561,81,-28,0.9940149800149941,0.17572277784347534
71,71,0.4049999999990561,81,-191,0.9940149800149941,0.08999288082122803
72,72,0.4049999999990561,81,-28,0.9940149800149941,0.16521134972572327
73,73,0.4049999999990561,81,189,0.9940149800149941,0.20255479216575623
74,74,0.4049999999990561,81,-163,0.9940149800149941,0.2255067527294159
75,75,0.4049999999990561,81,109,0.9940149800149941,0.29868900775909424
76,76,0.4049999999990561,81,169,0.9940149800149941,0.19660015404224396
77,77,0.4049999999990561,81,-390,0.9940149800149941,0.26011979579925537
78,78,0.4049999999990561,81,66,0.9940149800149941,0.26878267526626587
79,79,0.40000000000094715,80,-144,0.9940149800149941,0.24772092700004578
80,80,0.40000000000190994,80,15,0.9940149800149941,0.13126066327095032
81,81,0.40000000000190994,80,91,0.9940149800149941,0.2699240446090698
82,82,0.40000000000190994,80,-84,0.9940149800149941,0.12851472198963165
83,83,0.40000000000190994,80,127,0.9940149800149941,0.16995134949684143
84,84,0.40000000000190994,80,-351,0.9940149800149941,0.19131463766098022
85,85,0.40000000000190994,80,-78,0.9940149800149941,0.1927066594362259
86,86,0.40000000000190994,80,-105,0.9940149800149941,0.21030090749263763
87,87,0.40000000000190994,80,166,0.9940149800149941,0.1933523565530777
88,88,0.40000000000190994,80,-96,0.9940149800149941,0.160446897149086
89,89,0.40000000000190994,80,116,0.9940149800149941,0.10567158460617065
90,90,0.40000000000190994,80,-19,0.9940149800149941,0.2438943088054657
91,91,0.40000000000190994,80,-71,0.9940149800149941,0.365139365196228
92,92,0.40000000000190994,80,50,0.9940149800149941,0.14379210770130157
93,93,0.40000000000190994,80,-240,0.9762739865836306,0.26706793904304504
94,94,0.40000000000190994,80,-58,0.9762739865836306,0.2030121386051178
95,95,0.40000000000190994,80,-114,0.9762739865836306,0.1992630660533905
96,96,0.40000000000190994,80,-499,0.9762739865836306,0.17258793115615845
97,97,0.40000000000190994,80,-77,0.9762739865836306,0.3227842450141907
98,98,0.40000000000190994,80,-20,0.9762739865836306,0.14816105365753174
99,99,0.40000000000190994,80,-165,0.9762739865836306,0.11615756899118423
100,100,0.40000000000190994,80,63,0.9762739865836306,0.24108895659446716
101,101,0.40000000000190994,80,-176,0.9762739865836306,0.17966815829277039
102,102,0.40000000000190994,80,-135,0.9762739865836306,0.2353401482105255
103,103,0.40000000000190994,80,-372,0.9762739865836306,0.16289028525352478
104,104,0.40000000000190994,80,-126,0.9762739865836306,0.16319885849952698
105,105,0.40000000000190994,80,-56,0.9762739865836306,0.3304169774055481
106,106,0.40000000000190994,80,-60,0.9762739865836306,0.27820807695388794
107,107,0.40000000000190994,80,113,0.9762739865836306,0.20011049509048462
108,108,0.40000000000190994,80,-19,0.9762739865836306,0.2578948736190796
109,109,0.40000000000190994,80,-46,0.9762739865836306,0.13221095502376556
110,110,0.40000000000190994,80,-274,0.9762739865836306,0.19608449935913086
111,111,0.40000000000190994,80,-296,0.9762739865836306,0.35601216554641724
112,112,0.40000000000190994,80,-82,0.9762739865836306,0.17875191569328308
113,113,0.40000000000190994,80,-124,0.9762739865836306,0.13431912660598755
114,114,0.40000000000190994,80,-148,0.9762739865836306,0.21690896153450012
115,115,0.40000000000190994,80,-270,0.9762739865836306,0.2043469399213791
116,116,0.40000000000190994,80,-34,0.9762739865836306,0.43331044912338257
117,117,0.40000000000190994,80,-437,0.9762739865836306,0.25964754819869995
118,118,0.40000000000190994,80,-196,0.9762739865836306,0.30128732323646545
119,119,0.40000000000190994,80,-72,0.9762739865836306,0.1773439347743988
120,120,0.40000000000190994,80,-181,0.9762739865836306,0.3123782277107239
121,121,0.40000000000190994,80,-201,0.9762739865836306,0.3106347620487213
122,122,0.40000000000190994,80,-132,0.9762739865836306,0.28920137882232666
123,123,0.40000000000190994,80,-101,0.9762739865836306,0.252200186252594
124,124,0.40000000000190994,80,-56,0.8868671875860655,0.1748606562614441
125,125,0.40000000000190994,80,-346,0.8868671875860655,0.33831170201301575
126,126,0.40000000000190994,80,100,0.8868671875860655,0.20678862929344177
127,127,0.40000000000190994,80,279,0.8868671875860655,0.12631064653396606
128,128,0.40000000000190994,80,23,0.8868671875860655,0.22815543413162231
129,129,0.40000000000190994,80,35,0.8868671875860655,0.16108117997646332
130,130,0.40000000000190994,80,45,0.8868671875860655,0.2424294650554657
131,131,0.40000000000190994,80,-161,0.8868671875860655,0.19778184592723846
132,132,0.40000000000190994,80,-269,0.8868671875860655,0.3883514404296875
133,133,0.40000000000190994,80,-86,0.8868671875860655,0.1984107792377472
134,134,0.40000000000190994,80,-104,0.8868671875860655,0.29987049102783203
135,135,0.40000000000190994,80,-48,0.8868671875860655,0.2040276825428009
136,136,0.40000000000190994,80,-176,0.8868671875860655,0.1421201527118683
137,137,0.40000000000190994,80,-223,0.8868671875860655,0.17619562149047852
138,138,0.40000000000190994,80,-349,0.8868671875860655,0.2793620526790619
139,139,0.40000000000190994,80,-40,0.8868671875860655,0.25871211290359497
140,140,0.40000000000190994,80,-114,0.8868671875860655,0.20870354771614075
141,141,0.40000000000190994,80,-40,0.8868671875860655,0.2801855206489563
142,142,0.40000000000190994,80,-20,0.8868671875860655,0.5295047163963318
143,143,0.40000000000190994,80,149,0.8868671875860655,0.23160988092422485
144,144,0.40000000000190994,80,-45,0.8868671875860655,0.3004193603992462
145,145,0.40000000000190994,80,-201,0.8868671875860655,0.22617268562316895
146,146,0.40000000000190994,80,-27,0.8868671875860655,0.44817039370536804
147,147,0.40000000000190994,80,42,0.8868671875860655,0.3650403320789337
148,148,0.40000000000190994,80,69,0.8868671875860655,0.22538086771965027
149,149,0.40000000000190994,80,-41,0.8868671875860655,0.25325214862823486
150,150,0.40000000000190994,80,-95,0.8868671875860655,0.2111569344997406
151,151,0.40000000000190994,80,-343,0.8868671875860655,0.2748979926109314
152,152,0.40000000000190994,80,100,0.8868671875860655,0.25196775794029236
153,153,0.40000000000190994,80,45,0.8868671875860655,0.18317292630672455
154,154,0.40000000000190994,80,20,0.8868671875860655,0.2660492956638336
155,155,0.40000000000190994,80,7,0.4865769398194597,0.27416908740997314
156,156,0.40000000000190994,80,-272,0.4865769398194597,0.2426677942276001
157,157,0.40000000000190994,80,121,0.4865769398194597,0.28634804487228394
158,158,0.40000000000190994,80,-138,0.4865769398194597,0.283843994140625
159,159,0.40000000000190994,80,251,0.4865769398194597,0.17616668343544006
160,160,0.40000000000190994,80,16,0.4865769398194597,0.5730016231536865
161,161,0.40000000000190994,80,172,0.4865769398194597,0.18750616908073425
162,162,0.40000000000190994,80,65,0.4865769398194597,0.28604573011398315
163,163,0.40000000000190994,80,207,0.4865769398194597,0.3052704930305481
164,164,0.40000000000190994,80,62,0.4865769398194597,0.11841963231563568
165,165,0.40000000000190994,80,-174,0.4865769398194597,0.2351333647966385
166,166,0.40000000000190994,80,61,0.4865769398194597,0.21296806633472443
167,167,0.40000000000190994,80,280,0.4865769398194597,0.3212864100933075
168,168,0.40000000000190994,80,62,0.4865769398194597,0.20141619443893433
169,169,0.40000000000190994,80,112,0.4865769398194597,0.19480054080486298
170,170,0.40000000000190994,80,111,0.4865769398194597,0.13651618361473083
171,171,0.40000000000190994,80,-97,0.4865769398194597,0.21565952897071838
172,172,0.40000000000190994,80,-55,0.4865769398194597,0.2147064208984375
173,173,0.40000000000190994,80,-186,0.4865769398194597,0.26283642649650574
174,174,0.40000000000190994,80,-56,0.4865769398194597,0.17394733428955078
175,175,0.40000000000190994,80,-29,0.4865769398194597,0.12882041931152344
176,176,0.40000000000190994,80,-208,0.4865769398194597,0.23428191244602203
177,177,0.40000000000190994,80,15,0.4865769398194597,0.19933676719665527
178,178,0.40000000000190994,80,161,0.4865769398194597,0.17035582661628723
179,179,0.40000000000190994,80,138,0.4865769398194597,0.3549482524394989
180,180,0.40000000000190994,80,-145,0.4865769398194597,0.19839949905872345
181,181,0.40000000000190994,80,15,0.4865769398194597,0.19123825430870056
182,182,0.40000000000190994,80,-233,0.4865769398194597,0.1667730212211609
183,183,0.40000000000190994,80,0,0.4865769398194597,0.1535722315311432
184,184,0.40000000000190994,80,-146,0.4865769398194597,0.17493584752082825
185,185,0.40000000000190994,80,-3,0.4865769398194597,0.27554962038993835
186,186,0.40000000000190994,80,-85,0.01,0.16623914241790771
187,187,0.40000000000190994,80,427,0.01,0.3287990093231201
188,188,0.40000000000190994,80,299,0.01,0.35795336961746216
189,189,0.40000000000190994,80,-78,0.01,0.28680485486984253
190,190,0.40000000000190994,80,-311,0.01,0.2593476176261902
191,191,0.40000000000190994,80,-586,0.01,0.19127200543880463
192,192,0.40000000000190994,80,-637,0.01,0.18735657632350922
193,193,0.40000000000190994,80,-371,0.01,0.2159539759159088
194,194,0.40000000000190994,80,-391,0.01,0.1904580295085907
195,195,0.40000000000190994,80,-156,0.01,0.1403890997171402
196,196,0.40000000000190994,80,141,0.01,0.18668702244758606
197,197,0.40000000000190994,80,188,0.01,0.2872604429721832
198,198,0.40000000000190994,80,-247,0.01,0.22228628396987915
199,199,0.40000000000190994,80,-224,0.01,0.2360115945339203
200,200,0.40000000000190994,80,-19,0.01,0.25402307510375977
201,201,0.40000000000190994,80,-79,0.01,0.2395598292350769
202,202,0.40000000000190994,80,-75,0.01,0.30848464369773865
203,203,0.40000000000190994,80,-369,0.01,0.19785422086715698
204,204,0.40000000000190994,80,287,0.01,0.36536040902137756
205,205,0.40000000000190994,80,122,0.01,0.18142081797122955
206,206,0.40000000000190994,80,-181,0.01,0.21667572855949402
207,207,0.40000000000190994,80,2,0.01,0.21862590312957764
208,208,0.40000000000190994,80,110,0.01,0.12727829813957214
209,209,0.40000000000190994,80,-40,0.01,0.1581992655992508
210,210,0.40000000000190994,80,-144,0.01,0.21026182174682617
211,211,0.40000000000190994,80,-162,0.01,0.26187220215797424
212,212,0.40000000000190994,80,89,0.01,0.2481233775615692
213,213,0.40000000000190994,80,92,0.01,0.21414843201637268
214,214,0.40000000000190994,80,11,0.01,0.2064771056175232
215,215,0.40000000000190994,80,128,0.01,0.19245420396327972
216,216,0.40000000000190994,80,296,0.01,0.16173303127288818
217,217,0.40000000000190994,80,55,0.01,0.2576608657836914
218,218,0.40000000000190994,80,-319,0.01,0.1738213449716568
219,219,0.40000000000190994,80,-207,0.01,0.2039792239665985
220,220,0.40000000000190994,80,-233,0.01,0.24073994159698486
221,221,0.40000000000190994,80,-229,0.01,0.18919794261455536
222,222,0.40000000000190994,80,-158,0.01,0.24213644862174988
223,223,0.40000000000190994,80,-181,0.01,0.18533509969711304
224,224,0.40000000000190994,80,-132,0.01,0.1596132516860962
225,225,0.40000000000190994,80,14,0.01,0.2304009348154068
226,226,0.40000000000190994,80,216,0.01,0.14474628865718842
227,227,0.40000000000190994,80,236,0.01,0.26484215259552
228,228,0.40000000000190994,80,-186,0.01,0.18297716975212097
229,229,0.40000000000190994,80,332,0.01,0.24054574966430664
230,230,0.40000000000190994,80,121,0.01,0.11413261294364929
231,231,0.40000000000190994,80,-12,0.01,0.16270539164543152
232,232,0.40000000000190994,80,34,0.01,0.16599896550178528
233,233,0.40000000000190994,80,228,0.01,0.2981787323951721
234,234,0.40000000000190994,80,299,0.01,0.19001366198062897
235,235,0.40000000000190994,80,269,0.01,0.137376606464386
236,236,0.40000000000190994,80,-27,0.01,0.18833684921264648
237,237,0.40000000000190994,80,291,0.01,0.16943004727363586
238,238,0.40000000000190994,80,338,0.01,0.19624367356300354
239,239,0.40000000000190994,80,283,0.01,0.2547411322593689
240,240,0.40000000000190994,80,171,0.01,0.054389793425798416
241,241,0.40000000000190994,80,-15,0.01,0.19752322137355804
242,242,0.40000000000190994,80,-123,0.01,0.14833775162696838
243,243,0.40000000000190994,80,186,0.01,0.16166052222251892
244,244,0.40000000000190994,80,-296,0.01,0.07834862172603607
245,245,0.40000000000190994,80,14,0.01,0.20658914744853973
246,246,0.40000000000190994,80,-198,0.01,0.17913341522216797
247,247,0.40000000000190994,80,-164,0.01,0.24406132102012634
248,248,0.40000000000190994,80,121,0.01,0.17110790312290192
249,249,0.40000000000190994,80,177,0.01,0.16800516843795776
250,250,0.40000000000190994,80,223,0.01,0.1915687769651413
251,251,0.40000000000190994,80,97,0.01,0.22532828152179718
252,252,0.40000000000190994,80,136,0.01,0.07288112491369247
253,253,0.40000000000190994,80,-207,0.01,0.27410927414894104
254,254,0.40000000000190994,80,-275,0.01,0.17621690034866333
255,255,0.40000000000190994,80,-277,0.01,0.05956655368208885
256,256,0.40000000000190994,80,117,0.01,0.2178424894809723
257,257,0.40000000000190994,80,258,0.01,0.16663312911987305
258,258,0.40000000000190994,80,-150,0.01,0.12063175439834595
259,259,0.40000000000190994,80,113,0.01,0.203326016664505
260,260,0.40000000000190994,80,-38,0.01,0.09486119449138641
261,261,0.40000000000190994,80,205,0.01,0.23044753074645996
262,262,0.40000000000190994,80,-278,0.01,0.2526327669620514
263,263,0.40000000000190994,80,39,0.01,0.023224934935569763
264,264,0.40000000000190994,80,268,0.01,0.27658382058143616
265,265,0.40000000000190994,80,390,0.01,0.18770737946033478
266,266,0.40000000000190994,80,432,0.01,0.05422036722302437
267,267,0.40000000000190994,80,227,0.01,0.10189075767993927
268,268,0.40000000000190994,80,144,0.01,0.3880292773246765
269,269,0.40000000000190994,80,140,0.01,0.08419612050056458
270,270,0.40000000000190994,80,191,0.01,0.09065959602594376
271,271,0.40000000000190994,80,124,0.01,0.14728446304798126
272,272,0.40000000000190994,80,257,0.01,0.2091442346572876
273,273,0.40000000000190994,80,164,0.01,0.19645783305168152
274,274,0.40000000000190994,80,425,0.01,0.1821400225162506
275,275,0.40000000000190994,80,427,0.01,0.16120567917823792
276,276,0.40000000000190994,80,405,0.01,0.2278633415699005
277,277,0.40000000000190994,80,287,0.01,0.07155706733465195
278,278,0.40000000000190994,80,402,0.01,0.1551191657781601
279,279,0.40000000000190994,80,237,0.01,0.16586081683635712
280,280,0.40000000000190994,80,156,0.01,0.20368564128875732
281,281,0.40000000000190994,80,158,0.01,0.0661609098315239
282,282,0.40000000000190994,80,282,0.01,0.11000491678714752
283,283,0.40000000000190994,80,300,0.01,0.1062542200088501
284,284,0.40000000000190994,80,417,0.01,0.07546526193618774
285,285,0.40000000000190994,80,417,0.01,0.05376678705215454
286,286,0.40000000000190994,80,417,0.01,0.11059727519750595
287,287,0.40000000000190994,80,421,0.01,0.23947826027870178
288,288,0.40000000000190994,80,388,0.01,0.05158725380897522
289,289,0.40000000000190994,80,420,0.01,0.17695267498493195
290,290,0.40000000000190994,80,424,0.01,0.13032306730747223
291,291,0.40000000000190994,80,382,0.01,0.08519371598958969
292,292,0.40000000000190994,80,382,0.01,0.16591987013816833
293,293,0.40000000000190994,80,417,0.01,0.16746468842029572
294,294,0.40000000000190994,80,417,0.01,0.1408204585313797
295,295,0.40000000000190994,80,417,0.01,0.13305073976516724
296,296,0.40000000000190994,80,415,0.01,0.3594793379306793
297,297,0.40000000000190994,80,417,0.01,0.11234165728092194
298,298,0.40000000000190994,80,417,0.01,0.19567513465881348
299,299,0.40000000000190994,80,417,0.01,0.08928027749061584
300,300,0.40000000000190994,80,409,0.01,0.15340490639209747
301,301,0.40000000000190994,80,390,0.01,0.12845779955387115
302,302,0.40000000000190994,80,417,0.01,0.11722632497549057
303,303,0.40000000000190994,80,416,0.01,0.058589715510606766
304,304,0.40000000000190994,80,397,0.01,0.16343417763710022
305,305,0.40000000000190994,80,415,0.01,0.04975526034832001
306,306,0.40000000000190994,80,389,0.01,0.050625208765268326
307,307,0.40000000000190994,80,415,0.01,0.15828141570091248
308,308,0.40000000000190994,80,371,0.01,0.09751361608505249
309,309,0.40000000000190994,80,416,0.01,0.09070646017789841
310,310,0.40000000000190994,80,285,0.01,0.17996227741241455
311,311,0.40000000000190994,80,275,0.01,0.10712876915931702
312,312,0.40000000000190994,80,341,0.01,0.05084219574928284
313,313,0.40000000000190994,80,423,0.01,0.09327710419893265
314,314,0.40000000000190994,80,415,0.01,0.1312379688024521
315,315,0.40000000000190994,80,419,0.01,0.12084206193685532
316,316,0.40000000000190994,80,416,0.01,0.057193152606487274
317,317,0.40000000000190994,80,419,0.01,0.12222837656736374
318,318,0.40000000000190994,80,422,0.01,0.08373512327671051
319,319,0.40499999999424574,81,428,0.01,0.06202126294374466
320,320,0.404999999990423,81,334,0.01,0.02379443123936653
321,321,0.404999999990423,81,328,0.01,0.08188996464014053
322,322,0.404999999990423,81,358,0.01,0.1189151480793953
323,323,0.404999999990423,81,326,0.01,0.045338790863752365
324,324,0.404999999990423,81,101,0.01,0.08307084441184998
325,325,0.404999999990423,81,345,0.01,0.03633871674537659
326,326,0.404999999990423,81,332,0.01,0.09122303128242493
327,327,0.404999999990423,81,352,0.01,0.10048139840364456
328,328,0.404999999990423,81,339,0.01,0.02603665366768837
329,329,0.404999999990423,81,323,0.01,0.03285083919763565
330,330,0.404999999990423,81,288,0.01,0.051673486828804016
331,331,0.404999999990423,81,331,0.01,0.14504802227020264
332,332,0.404999999990423,81,338,0.01,0.12621335685253143
333,333,0.404999999990423,81,314,0.01,0.13873596489429474
334,334,0.404999999990423,81,360,0.01,0.12272848188877106
335,335,0.404999999990423,81,388,0.01,0.16636177897453308
336,336,0.404999999990423,81,394,0.01,0.04739255830645561
337,337,0.404999999990423,81,400,0.01,0.10069932043552399
338,338,0.404999999990423,81,371,0.01,0.06972192227840424
339,339,0.404999999990423,81,406,0.01,0.14179083704948425
340,340,0.404999999990423,81,364,0.01,0.08542837202548981
341,341,0.404999999990423,81,400,0.01,0.11084133386611938
342,342,0.404999999990423,81,316,0.01,0.05772661417722702
343,343,0.404999999990423,81,292,0.01,0.10804585367441177
344,344,0.404999999990423,81,374,0.01,0.05141221359372139
345,345,0.404999999990423,81,398,0.01,0.12244786322116852
346,346,0.404999999990423,81,398,0.01,0.062146611511707306
347,347,0.404999999990423,81,378,0.01,0.22732751071453094
348,348,0.404999999990423,81,407,0.01,0.1704443395137787
349,349,0.404999999990423,81,401,0.01,0.12480036914348602
350,350,0.404999999990423,81,413,0.01,0.059224508702754974
351,351,0.404999999990423,81,396,0.01,0.19923043251037598
352,352,0.404999999990423,81,419,0.01,0.10062116384506226
353,353,0.404999999990423,81,418,0.01,0.03341307491064072
354,354,0.404999999990423,81,413,0.01,0.09989038854837418
355,355,0.404999999990423,81,419,0.01,0.0744660273194313
356,356,0.404999999990423,81,416,0.01,0.0786694660782814
357,357,0.404999999990423,81,419,0.01,0.19714227318763733
358,358,0.404999999990423,81,346,0.01,0.15529420971870422
359,359,0.404999999990423,81,413,0.01,0.04924476146697998
360,360,0.404999999990423,81,423,0.01,0.13654446601867676
361,361,0.404999999990423,81,423,0.01,0.0965622067451477
362,362,0.404999999990423,81,423,0.01,0.08526674658060074
363,363,0.404999999990423,81,375,0.01,0.08638530969619751
364,364,0.404999999990423,81,369,0.01,0.08564436435699463
365,365,0.404999999990423,81,391,0.01,0.10957622528076172
366,366,0.404999999990423,81,417,0.01,0.09602980315685272
367,367,0.404999999990423,81,423,0.01,0.07750916481018066
368,368,0.404999999990423,81,417,0.01,0.1308644711971283
369,369,0.404999999990423,81,429,0.01,0.0189039446413517
370,370,0.404999999990423,81,429,0.01,0.1400190144777298
371,371,0.404999999990423,81,420,0.01,0.09451434761285782
372,372,0.404999999990423,81,399,0.01,0.07396207004785538
373,373,0.404999999990423,81,357,0.01,0.08401207625865936
374,374,0.404999999990423,81,357,0.01,0.23799380660057068
375,375,0.404999999990423,81,429,0.01,0.10787878930568695
376,376,0.404999999990423,81,407,0.01,0.1862126886844635
377,377,0.404999999990423,81,415,0.01,0.066452756524086
378,378,0.404999999990423,81,422,0.01,0.02632111869752407
379,379,0.404999999990423,81,401,0.01,0.039255134761333466
380,380,0.404999999990423,81,419,0.01,0.15035519003868103
381,381,0.404999999990423,81,429,0.01,0.05147455632686615
382,382,0.404999999990423,81,422,0.01,0.07402036339044571
383,383,0.404999999990423,81,407,0.01,0.049991004168987274
384,384,0.404999999990423,81,407,0.01,0.04597175493836403
385,385,0.404999999990423,81,407,0.01,0.055341094732284546
