,Episode,Time,Final step,Score,Epsilon,Min_loss,avg_loss
0,0,0.4050000000000003,81,-1958,0.999,,0.011028670589439571
1,1,0.4049999999999659,81,-2020,0.999,,0.010847329162061214
2,2,0.4049999999999555,81,-2002,0.999,,0.009964251890778542
3,3,0.4049999999999554,81,-2229,0.999,,0.0112998578697443
4,4,0.4049999999999665,81,-1521,0.999,,0.010572692030109465
5,5,0.4000000000001336,80,-2238,0.999,,0.009535262011922896
6,6,0.4000000000001336,80,-2650,0.999,,0.00925116753205657
7,7,0.4000000000001336,80,-1838,0.999,,0.009278755402192473
8,8,0.4000000000001336,80,-1990,0.999,,0.008752917172387242
9,9,0.40000000000011093,80,-1704,0.999,,0.010057301726192236
10,10,0.40499999999977554,81,-1311,0.999,,0.009597611147910357
11,11,0.40499999999977554,81,-2172,0.999,,0.009429369471035898
12,12,0.40499999999977554,81,-2382,0.999,,0.00901938381139189
13,13,0.40499999999977554,81,-1907,0.999,,0.009264470892958343
14,14,0.40499999999977554,81,-1752,0.999,,0.009001549566164613
15,15,0.40499999999977554,81,-2074,0.999,,0.008758971467614174
16,16,0.40499999999977554,81,-1184,0.999,,0.008129988797008991
17,17,0.40499999999977554,81,-1760,0.999,,0.007892442168667912
18,18,0.40499999999977554,81,-2442,0.999,,0.008673017378896475
19,19,0.40499999999990877,81,-1787,0.999,,0.008443462429568172
20,20,0.40000000000048885,80,-1899,0.999,,0.008741813711822033
21,21,0.40000000000048885,80,-2153,0.999,,0.0072093019261956215
22,22,0.40000000000048885,80,-2172,0.999,,0.007958211586810648
23,23,0.40000000000048885,80,-2380,0.999,,0.007590347668156028
24,24,0.40000000000048885,80,-2313,0.999,,0.00892792793456465
25,25,0.40000000000048885,80,-1968,0.999,,0.008481496362946928
26,26,0.40000000000048885,80,-2044,0.999,,0.007354334113188088
27,27,0.40000000000048885,80,-2275,0.999,,0.008276874432340264
28,28,0.40000000000048885,80,-1892,0.999,,0.00805909710470587
29,29,0.40000000000048885,80,-2405,0.999,,0.007563947350718081
30,30,0.40000000000048885,80,-2226,0.999,,0.007225166948046535
31,31,0.40000000000048885,80,-1697,0.999,,0.008681769715622067
32,32,0.40000000000048885,80,-2657,0.999,,0.007757292361930013
33,33,0.40000000000048885,80,-2326,0.999,,0.007306658546440303
34,34,0.40000000000048885,80,-2350,0.999,,0.007720288820564747
35,35,0.40000000000048885,80,-2287,0.999,,0.006524915690533817
36,36,0.40000000000048885,80,-2419,0.999,,0.007642203476279974
37,37,0.40000000000048885,80,-1912,0.999,,0.007937354035675526
38,38,0.40000000000048885,80,-1971,0.999,,0.007859142264351249
39,39,0.4000000000002206,80,-2111,0.999,,0.00788924505468458
40,40,0.4049999999990561,81,-2000,0.999,,0.007234391989186406
41,41,0.4049999999990561,81,-2287,0.999,,0.00789411092409864
42,42,0.4049999999990561,81,-1622,0.999,,0.006603360758163035
43,43,0.4049999999990561,81,-2052,0.999,,0.006914455676451325
44,44,0.4049999999990561,81,-2654,0.999,,0.007171244767960161
45,45,0.4049999999990561,81,-2247,0.999,,0.008141009253449738
46,46,0.4049999999990561,81,-1993,0.999,,0.007142390822991729
47,47,0.4049999999990561,81,-1965,0.999,,0.00721507822163403
48,48,0.4049999999990561,81,-1816,0.999,,0.0065331218065693974
49,49,0.4049999999990561,81,-1960,0.999,,0.007094899541698396
50,50,0.4049999999990561,81,-2301,0.999,,0.007539962767623365
51,51,0.4049999999990561,81,-2017,0.999,,0.00719291262794286
52,52,0.4049999999990561,81,-2156,0.999,,0.007380569470115006
53,53,0.4049999999990561,81,-1948,0.999,,0.00661667191889137
54,54,0.4049999999990561,81,-2046,0.999,,0.0061196606839075685
55,55,0.4049999999990561,81,-2350,0.999,,0.007508684298954904
56,56,0.4049999999990561,81,-1923,0.999,,0.007625098805874586
57,57,0.4049999999990561,81,-2087,0.999,,0.006811981904320419
58,58,0.4049999999990561,81,-1799,0.999,,0.006023605703376234
59,59,0.4049999999990561,81,-2203,0.999,,0.006641542073339224
60,60,0.4049999999990561,81,-1958,0.999,,0.0059620661195367575
61,61,0.4049999999990561,81,-1133,0.999,,0.0069909244775772095
62,62,0.4049999999990561,81,-2037,0.998001,,0.006796905887313187
63,63,0.4049999999990561,81,-1664,0.998001,,0.00636005646083504
64,64,0.4049999999990561,81,-2064,0.998001,,0.006591915502212942
65,65,0.4049999999990561,81,-1842,0.998001,,0.006786269543226808
66,66,0.4049999999990561,81,-1952,0.998001,,0.006678294506855309
67,67,0.4049999999990561,81,-2317,0.998001,,0.006603890971746296
68,68,0.4049999999990561,81,-2425,0.998001,,0.005979458917863667
69,69,0.4049999999990561,81,-2466,0.998001,,0.0059751084190793335
70,70,0.4049999999990561,81,-2045,0.998001,,0.006564824841916561
71,71,0.4049999999990561,81,-2218,0.998001,,0.0068262063432484865
72,72,0.4049999999990561,81,-1343,0.998001,,0.006153499591164291
73,73,0.4049999999990561,81,-2152,0.998001,,0.0064105463097803295
74,74,0.4049999999990561,81,-2045,0.998001,,0.006286150135565549
75,75,0.4049999999990561,81,-2256,0.998001,,0.0058211805881001055
76,76,0.4049999999990561,81,-2120,0.998001,,0.006102031795307994
77,77,0.4049999999990561,81,-2162,0.998001,,0.005977840279228985
78,78,0.4049999999990561,81,-1889,0.998001,,0.005663261283189058
79,79,0.4000000000009827,80,-1776,0.998001,,0.005369309918023646
80,80,0.40000000000190994,80,-1921,0.998001,,0.006346090231090784
81,81,0.40000000000190994,80,-2489,0.998001,,0.0054608521168120205
82,82,0.40000000000190994,80,-2099,0.998001,,0.0069325853837653995
83,83,0.40000000000190994,80,-2226,0.998001,,0.006171228305902332
84,84,0.40000000000190994,80,-1992,0.998001,,0.006869174889288843
85,85,0.40000000000190994,80,-1984,0.998001,,0.0066960405092686415
86,86,0.40000000000190994,80,-2210,0.998001,,0.007383672520518303
87,87,0.40000000000190994,80,-2170,0.998001,,0.005283918872009963
88,88,0.40000000000190994,80,-1811,0.998001,,0.006392754381522536
89,89,0.40000000000190994,80,-1934,0.998001,,0.00609780999366194
90,90,0.40000000000190994,80,-1469,0.998001,,0.00596493756165728
91,91,0.40000000000190994,80,-2030,0.998001,,0.005979290115647018
92,92,0.40000000000190994,80,-2409,0.998001,,0.005737520521506667
93,93,0.40000000000190994,80,-2125,0.998001,,0.006388449342921376
94,94,0.40000000000190994,80,-1730,0.998001,,0.006200865260325372
95,95,0.40000000000190994,80,-2088,0.998001,,0.006016616593115032
96,96,0.40000000000190994,80,-1937,0.998001,,0.0056407100055366755
97,97,0.40000000000190994,80,-1649,0.998001,,0.006134692230261862
98,98,0.40000000000190994,80,-2380,0.998001,,0.006296914885751903
99,99,0.40000000000190994,80,-1718,0.998001,,0.005035484209656715
100,100,0.40000000000190994,80,-2380,0.998001,,0.006371091585606337
101,101,0.40000000000190994,80,-1321,0.998001,,0.00506229413440451
102,102,0.40000000000190994,80,-2243,0.998001,,0.005193005606997758
103,103,0.40000000000190994,80,-1464,0.998001,,0.005079146008938551
104,104,0.40000000000190994,80,-1420,0.998001,,0.005380677350331098
105,105,0.40000000000190994,80,-2263,0.998001,,0.005605192098300904
106,106,0.40000000000190994,80,-1732,0.998001,,0.0050767556531354785
107,107,0.40000000000190994,80,-2042,0.998001,,0.0054284302750602365
108,108,0.40000000000190994,80,-1840,0.998001,,0.005151376535650343
109,109,0.40000000000190994,80,-1938,0.998001,,0.006050210737157613
110,110,0.40000000000190994,80,-2162,0.998001,,0.0049274429911747575
111,111,0.40000000000190994,80,-1998,0.998001,,0.005087396129965782
112,112,0.40000000000190994,80,-2527,0.998001,,0.005537364399060607
113,113,0.40000000000190994,80,-2095,0.998001,,0.005865599785465747
114,114,0.40000000000190994,80,-1999,0.998001,,0.005171746946871281
115,115,0.40000000000190994,80,-2003,0.998001,,0.0056244011502712965
116,116,0.40000000000190994,80,-2180,0.998001,,0.005150664539542049
117,117,0.40000000000190994,80,-2130,0.998001,,0.004903305729385465
118,118,0.40000000000190994,80,-1686,0.998001,,0.00538900145329535
119,119,0.40000000000190994,80,-2299,0.998001,,0.005300736520439386
120,120,0.40000000000190994,80,-2021,0.998001,,0.004741037671919912
121,121,0.40000000000190994,80,-1825,0.998001,,0.0052134847501292825
122,122,0.40000000000190994,80,-2326,0.998001,,0.005252933653537184
123,123,0.40000000000190994,80,-1596,0.998001,,0.004916001227684319
124,124,0.40000000000190994,80,-1982,0.9940149800149941,,0.005873371264897287
125,125,0.40000000000190994,80,-2223,0.9940149800149941,,0.004706705338321626
