,Episode,Duration,Slots,Score,Epsilon,min_loss,success rate,success_rate
18,18,0.11599999999998722,290,-154.40000000000006,0.9445131481500655,0.06261487305164337,,"[0, 2, 4, 5]"
19,19,0.11999999999998678,300,-139.29999999999998,0.9416796087056153,0.06361088156700134,,"[1, 4, 4, 10]"
20,20,0.11999999999998678,300,-146.5,0.9388545698794984,0.05984031409025192,,"[1, 4, 4, 9]"
21,21,0.1079999999999881,270,-119.4,0.93603800616986,0.06499440968036652,,"[6, 5, 4, 6]"
22,22,0.11199999999998766,280,-122.80000000000001,0.9332298921513504,0.061595477163791656,,"[4, 6, 4, 7]"
23,23,0.12399999999998634,310,-135.8,0.9304302024748964,0.06241703778505325,,"[5, 4, 4, 6]"
24,24,0.11999999999998678,300,-121.7,0.9276389118674717,0.060328297317028046,,"[4, 3, 4, 12]"
25,25,0.11599999999998722,290,-117.70000000000005,0.9248559951318693,0.06077096611261368,,"[6, 4, 4, 4]"
26,26,0.11599999999998722,290,-126.1,0.9220814271464737,0.0583152137696743,,"[3, 3, 4, 5]"
27,27,0.11199999999998766,280,-118.0,0.9193151828650342,0.05798652768135071,,"[5, 2, 4, 7]"
28,28,0.1079999999999881,270,-153.0,0.9165572373164391,0.06151523441076279,,"[2, 4, 4, 6]"
29,29,0.11199999999998766,280,-123.9,0.9138075656044898,0.05764702707529068,,"[2, 5, 4, 12]"
30,30,0.11599999999998722,290,-132.3,0.9110661429076764,0.05575213208794594,,"[3, 3, 4, 5]"
31,31,0.1079999999999881,270,-127.10000000000001,0.9083329444789534,0.05521397665143013,,"[1, 3, 4, 5]"
32,32,0.11599999999998722,290,-133.20000000000002,0.9056079456455165,0.04779448360204697,,"[4, 2, 4, 5]"
33,33,0.11999999999998678,300,-125.2,0.90289112180858,0.05748491734266281,,"[5, 5, 4, 4]"
34,34,0.11199999999998766,280,-123.1,0.9001824484431542,0.05603821948170662,,"[3, 4, 4, 11]"
35,35,0.11199999999998811,280,-112.60000000000002,0.8974819010978248,0.05475177243351936,,"[4, 5, 4, 8]"
36,36,0.11999999999998678,300,-128.5,0.8947894553945313,0.054792389273643494,,"[3, 4, 4, 6]"
37,37,0.1079999999999881,270,-124.8,0.8921050870283477,0.058732375502586365,,"[5, 3, 4, 4]"
38,38,0.11599999999998722,290,-133.30000000000004,0.8894287717672626,0.053379688411951065,,"[1, 1, 4, 6]"
39,39,0.11599999999998722,290,-135.29999999999998,0.8867604854519608,0.05442072078585625,,"[1, 2, 4, 4]"
40,40,0.11199999999998766,280,-140.70000000000002,0.884100203995605,0.05195014923810959,,"[1, 1, 4, 4]"
41,41,0.11999999999998678,300,-132.20000000000002,0.8814479033836181,0.05285858362913132,,"[1, 6, 4, 8]"
42,42,0.11199999999998766,280,-124.5,0.8788035596734672,0.05832326412200928,,"[2, 6, 4, 6]"
43,43,0.11199999999998766,280,-122.2,0.8761671489944468,0.053124308586120605,,"[4, 6, 4, 4]"
44,44,0.12399999999998634,310,-123.7,0.8735386475474635,0.05081486329436302,,"[6, 2, 4, 9]"
45,45,0.1079999999999881,270,-121.8,0.8709180316048211,0.054864343255758286,,"[5, 5, 4, 5]"
46,46,0.11199999999998766,280,-117.50000000000001,0.8683052775100066,0.05316143482923508,,"[4, 5, 4, 8]"
47,47,0.11199999999998766,280,-111.9,0.8657003616774767,0.04416385665535927,,"[5, 5, 4, 8]"
48,48,0.1079999999999881,270,-135.20000000000002,0.8631032605924442,0.05124901980161667,,"[2, 2, 4, 9]"
49,49,0.11199999999998766,280,-111.9,0.860513950810667,0.05199559032917023,,"[7, 3, 4, 8]"
50,50,0.11599999999998722,290,-116.89999999999998,0.857932408958235,0.050789520144462585,,"[6, 5, 4, 12]"
51,51,0.11599999999998722,290,-124.50000000000004,0.8553586117313603,0.05018787086009979,,"[6, 4, 4, 13]"
52,52,0.11599999999998722,290,-138.10000000000005,0.8527925358961662,0.049554403871297836,,"[0, 3, 4, 5]"
53,53,0.11999999999998678,300,-105.60000000000002,0.8502341582884777,0.04871537536382675,,"[9, 7, 4, 9]"
