,Episode,Duration,Slots,Score,Epsilon,min_loss,p1,p2
0,0,0.1374000000000003,229,7.6000000000000005,1,172.62789916992188,4,42
1,1,0.14939999999999737,249,10.800000000000002,0.9999,15.068885803222656,11,39
2,2,0.1481999999999974,247,7.9,0.9998000100000001,11.067037582397461,4,45
3,3,0.15240000000000542,254,10.100000000000001,0.9997000299990001,7.529640197753906,10,37
4,4,0.1416000000000106,236,10.200000000000001,0.9996000599960002,6.092391014099121,9,43
5,5,0.1374000000000103,229,13.900000000000002,0.9995000999900007,4.702655792236328,17,40
6,6,0.15540000000000753,259,11.400000000000002,0.9994001499800017,3.7267489433288574,13,35
7,7,0.1607999999999823,268,7.500000000000002,0.9993002099650037,3.0955286026000977,4,41
8,8,0.13559999999998507,226,8.700000000000001,0.9992002799440072,2.4100077152252197,6,43
9,9,0.14579999999998394,243,10.900000000000002,0.9991003599160128,2.2699732780456543,10,45
10,10,0.14819999999998368,247,12.200000000000001,0.9990004498800211,2.5069937705993652,15,33
11,11,0.1415999999999844,236,10.200000000000001,0.9989005498350332,2.7215075492858887,8,48
12,12,0.136199999999985,227,9.3,0.9988006597800497,2.0951788425445557,7,44
13,13,0.15239999999998344,254,12.500000000000002,0.9987007797140718,1.8888638019561768,15,36
14,14,0.13679999999998493,228,9.400000000000002,0.9986009096361004,1.5271116495132446,7,45
15,15,0.1571999999999827,262,8.100000000000001,0.9985010495451367,1.8742403984069824,6,37
16,16,0.14039999999998454,234,10.0,0.9984011994401822,1.4816356897354126,9,41
17,17,0.1433999999999842,239,13.3,0.9983013593202382,1.755354642868042,15,44
18,18,0.1415999999999844,236,11.100000000000003,0.9982015291843062,1.3589409589767456,10,47
19,19,0.14759999999998374,246,6.800000000000001,0.9981017090313877,1.3586562871932983,2,44
20,20,0.15779999999998262,263,9.4,0.9980018988604846,1.2494025230407715,8,40
21,21,0.13739999999998487,229,10.000000000000002,0.9979020986705985,1.2311339378356934,8,46
22,22,0.14279999999998427,238,9.600000000000001,0.9978023084607315,1.2229511737823486,7,47
23,23,0.15299999999998315,255,7.8,0.9977025282298854,1.4351365566253662,4,44
24,24,0.15299999999998315,255,7.5,0.9976027579770624,1.0816256999969482,5,36
25,25,0.14759999999998374,246,6.1000000000000005,0.9975029977012647,0.8869110941886902,4,27
26,26,0.136199999999985,227,8.9,0.9974032474014946,1.2346957921981812,5,50
27,27,0.16680000000005846,278,6.8,0.9973035070767544,0.8745693564414978,3,39
28,28,0.1446000000000911,241,9.0,0.9972037767260468,1.1060320138931274,6,46
29,29,0.1470000000000926,245,10.600000000000003,0.9971040563483742,0.7318805456161499,11,37
30,30,0.13740000000008656,229,8.700000000000001,0.9970043459427393,0.9594371318817139,5,48
31,31,0.1554000000000979,259,8.4,0.9969046455081451,0.5506861209869385,6,40
32,32,0.1416000000000892,236,10.700000000000001,0.9968049550435942,0.6461703181266785,11,38
33,33,0.1416000000000892,236,11.600000000000001,0.9967052745480899,0.7439775466918945,10,52
34,34,0.15600000000009828,260,8.900000000000002,0.9966056040206351,0.6515092849731445,8,35
35,35,0.1446000000000911,241,8.3,0.9965059434602331,0.25346803665161133,5,44
36,36,0.13320000000008392,222,11.100000000000001,0.9964062928658871,0.5674715042114258,9,52
37,37,0.14340000000009034,239,11.200000000000003,0.9963066522366005,0.43126630783081055,11,43
38,38,0.14640000000009223,244,8.600000000000001,0.9962070215713769,0.5353851318359375,5,47
39,39,0.14580000000009186,243,9.3,0.9961074008692198,0.4198843240737915,9,34
40,40,0.13860000000008732,231,9.200000000000001,0.9960077901291329,0.7304326295852661,7,43
41,41,0.1416000000000892,236,8.7,0.9959081893501199,0.47988808155059814,4,53
42,42,0.1392000000000877,232,10.8,0.995808598531185,0.6145003437995911,10,44
43,43,0.1500000000000945,250,9.000000000000002,0.9957090176713319,0.49031078815460205,6,46
44,44,0.15480000000009753,258,7.1000000000000005,0.9956094467695648,0.6907215714454651,4,37
45,45,0.14400000000009072,240,8.2,0.9955098858248879,0.5202237367630005,5,43
46,46,0.14880000000009375,248,11.300000000000002,0.9954103348363054,0.4833483099937439,11,44
47,47,0.1422000000000896,237,8.5,0.9953107938028217,0.48897862434387207,6,41
48,48,0.15060000000009488,251,12.600000000000003,0.9952112627234414,0.3424866199493408,14,42
49,49,0.1362000000000858,227,9.700000000000001,0.9951117415971691,0.32499316334724426,7,48
50,50,0.14580000000009186,243,11.300000000000002,0.9950122304230093,0.33932989835739136,10,49
51,51,0.1500000000000945,250,9.9,0.9949127291999671,0.5040327310562134,8,45
52,52,0.13560000000008543,226,9.3,0.9948132379270471,0.5516582727432251,6,49
53,53,0.1446000000000911,241,9.8,0.9947137566032545,0.48023030161857605,8,44
54,54,0.15120000000009526,252,8.600000000000001,0.9946142852275941,0.549448549747467,5,47
55,55,0.14040000000008845,234,8.200000000000003,0.9945148237990713,0.597724199295044,5,43
56,56,0.1446000000000911,241,11.400000000000002,0.9944153723166914,0.4092197120189667,11,45
57,57,0.14880000000009375,248,12.3,0.9943159307794598,0.47514355182647705,12,49
58,58,0.14340000000009034,239,7.2,0.9942164991863819,0.5776129961013794,2,48
59,59,0.1422000000000896,237,7.300000000000001,0.9941170775364633,0.6307028532028198,3,44
60,60,0.13860000000008732,231,10.100000000000001,0.9940176658287097,0.4647371172904968,9,42
61,61,0.13680000000008619,228,9.1,0.9939182640621268,0.6873881816864014,3,62
62,62,0.14100000000008883,235,9.900000000000002,0.9938188722357206,0.36488062143325806,9,40
63,63,0.1362000000000858,227,8.4,0.993719490348497,0.46699273586273193,3,55
64,64,0.16140000000010168,269,9.000000000000002,0.9936201183994622,0.4353444576263428,7,41
65,65,0.14640000000009223,244,10.3,0.9935207563876223,0.45704329013824463,9,44
66,66,0.14820000000009337,247,8.400000000000002,0.9934214043119836,0.41486430168151855,6,40
67,67,0.14880000000009375,248,9.200000000000003,0.9933220621715524,0.41160818934440613,7,43
68,68,0.15660000000009866,261,8.0,0.9932227299653352,0.46182429790496826,6,36
69,69,0.1422000000000896,237,8.8,0.9931234076923388,0.5925723314285278,5,49
70,70,0.13560000000008543,226,8.900000000000002,0.9930240953515695,0.46984168887138367,4,55
71,71,0.15180000000009564,253,10.3,0.9929247929420344,0.5064435005187988,8,49
72,72,0.14400000000009072,240,9.600000000000001,0.9928255004627402,0.5159968137741089,7,47
73,73,0.14940000000009412,249,10.400000000000002,0.992726217912694,0.3513343334197998,10,40
