,Episode,Duration,Slots,Score,Epsilon,min_loss,c&c,audio,video,be
72,72,0.20880000000013155,348,-243.05,0.9819132824245544,0.7219494581222534,15,1,1,62
73,73,0.21060000000013268,351,-258.3,0.9816678041039484,0.609342098236084,8,3,1,54
74,74,0.2070000000001304,345,-252.55000000000004,0.9814223871529224,0.6654826402664185,11,4,1,65
75,75,0.20880000000013155,348,-226.45000000000002,0.9811770315561342,0.44958463311195374,9,4,1,64
76,76,0.2070000000001091,345,-249.39999999999998,0.9809317372982452,0.5813393592834473,12,1,1,65
77,77,0.20699999999951757,345,-229.75000000000003,0.9806865043639207,0.4888526201248169,9,2,1,60
78,78,0.20879999999951337,348,-247.45,0.9804413327378297,0.5349550843238831,13,3,1,62
79,79,0.20699999999951757,345,-244.75000000000003,0.9801962224046453,0.5350748300552368,14,2,1,59
80,80,0.21059999999950918,351,-240.00000000000003,0.9799511733490441,0.5535475611686707,15,3,1,58
81,81,0.20879999999951337,348,-228.25000000000003,0.9797061855557069,0.5035287737846375,12,6,1,52
82,82,0.20879999999951337,348,-237.20000000000002,0.979461259009318,0.5075284838676453,7,1,1,63
83,83,0.20519999999952176,342,-229.2,0.9792163936945657,0.3826960027217865,11,0,1,62
84,84,0.21059999999950918,351,-231.70000000000002,0.9789715895961421,0.4688992202281952,11,4,1,65
85,85,0.20699999999951757,345,-241.85000000000002,0.978726846698743,0.46724534034729004,17,2,1,59
86,86,0.20699999999951757,345,-251.75,0.9784821649870683,0.43547677993774414,9,4,1,57
87,87,0.20519999999952176,342,-273.34999999999997,0.9782375444458216,0.4457288384437561,12,3,1,50
88,88,0.20699999999951757,345,-223.05,0.9779929850597101,0.37657999992370605,10,2,1,56
89,89,0.20879999999951337,348,-237.85000000000002,0.9777484868134452,0.4716005325317383,11,2,1,62
90,90,0.20699999999951757,345,-253.00000000000003,0.9775040496917419,0.3521076440811157,11,5,1,59
91,91,0.21059999999950918,351,-227.05000000000004,0.977259673679319,0.3996390104293823,10,3,1,59
92,92,0.20879999999951337,348,-262.0,0.9770153587608992,0.40099725127220154,12,1,0,58
93,93,0.21059999999950918,351,-244.75000000000003,0.976771104921209,0.3719303607940674,11,4,1,58
94,94,0.20879999999951337,348,-244.8,0.9765269121449788,0.3843364715576172,14,2,1,49
95,95,0.20699999999951757,345,-244.04999999999998,0.9762827804169426,0.40063658356666565,14,3,1,49
96,96,0.20699999999951757,345,-269.59999999999997,0.9760387097218384,0.39265894889831543,10,3,1,59
97,97,0.20699999999951757,345,-255.9,0.9757947000444079,0.37783318758010864,14,3,1,50
98,98,0.20699999999951757,345,-248.95000000000002,0.9755507513693968,0.30227744579315186,12,2,1,63
99,99,0.20879999999951337,348,-246.1,0.9753068636815545,0.3741016387939453,13,2,1,65
100,100,0.21239999999950498,354,-238.75,0.9750630369656341,0.3779589533805847,17,4,1,57
101,101,0.20879999999951337,348,-236.55,0.9748192712063928,0.36350947618484497,11,4,1,66
102,102,0.20879999999951337,348,-227.0,0.9745755663885912,0.2838493585586548,12,4,1,69
103,103,0.20699999999951757,345,-239.70000000000005,0.9743319224969941,0.3420271575450897,15,2,1,60
104,104,0.21059999999950918,351,-261.95,0.9740883395163699,0.35538482666015625,10,1,1,55
105,105,0.20699999999951757,345,-253.00000000000003,0.9738448174314908,0.28309765458106995,14,3,1,63
106,106,0.20699999999951757,345,-243.2,0.973601356227133,0.3584468364715576,15,4,1,47
107,107,0.20699999999951757,345,-251.50000000000003,0.9733579558880762,0.32428544759750366,14,4,1,52
108,108,0.20879999999951337,348,-246.65,0.9731146163991041,0.3361041843891144,15,2,1,63
109,109,0.21059999999950918,351,-238.45000000000002,0.9728713377450043,0.3540843725204468,16,3,1,61
110,110,0.20879999999951337,348,-266.85,0.9726281199105681,0.2826957106590271,6,2,0,68
111,111,0.20879999999951337,348,-254.6,0.9723849628805905,0.3055870234966278,13,3,1,51
112,112,0.20879999999951337,348,-253.89999999999998,0.9721418666398703,0.2826816439628601,9,1,1,56
113,113,0.20699999999951757,345,-241.40000000000003,0.9718988311732104,0.3214203119277954,12,4,1,59
114,114,0.21059999999950918,351,-236.20000000000002,0.9716558564654171,0.3241843581199646,12,4,1,60
115,115,0.20699999999951757,345,-242.20000000000002,0.9714129425013007,0.3204353451728821,12,3,1,53
116,116,0.21059999999950918,351,-257.6,0.9711700892656754,0.2807076573371887,10,4,1,59
117,117,0.20699999999951757,345,-254.85000000000002,0.970927296743359,0.31102821230888367,12,2,1,52
118,118,0.21059999999950918,351,-230.85000000000002,0.9706845649191732,0.2928982973098755,15,4,1,65
119,119,0.20699999999951757,345,-234.3,0.9704418937779434,0.27828824520111084,10,4,1,52
120,120,0.20699999999951757,345,-249.2,0.970199283304499,0.3171486556529999,11,2,1,56
121,121,0.20519999999952176,342,-252.8,0.969956733483673,0.26518377661705017,10,2,1,65
122,122,0.20879999999951337,348,-268.15000000000003,0.9697142443003021,0.2527509927749634,12,1,1,62
123,123,0.20699999999951757,345,-295.85,0.969471815739227,0.2610623836517334,8,0,0,76
124,124,0.20879999999951337,348,-260.2,0.9692294477852923,0.2713069021701813,8,4,1,61
125,125,0.20699999999951757,345,-233.10000000000002,0.968987140423346,0.31096163392066956,14,4,1,54
126,126,0.20699999999951757,345,-257.90000000000003,0.9687448936382402,0.25928694009780884,9,5,1,54
127,127,0.20879999999951337,348,-259.8,0.9685027074148307,0.25011029839515686,11,4,1,53
128,128,0.20879999999951337,348,-259.55,0.968260581737977,0.28611576557159424,11,2,0,70
129,129,0.20699999999951757,345,-230.70000000000002,0.9680185165925426,0.21795901656150818,10,4,1,57
130,130,0.20519999999952176,342,-238.85000000000002,0.9677765119633944,0.23805150389671326,9,4,1,55
131,131,0.20699999999951757,345,-240.25000000000003,0.9675345678354036,0.3121083378791809,17,3,1,47
132,132,0.20879999999951337,348,-239.00000000000003,0.9672926841934447,0.292531818151474,10,1,1,56
133,133,0.20879999999951337,348,-239.89999999999998,0.9670508610223963,0.23634687066078186,12,2,1,56
134,134,0.20699999999951757,345,-237.40000000000003,0.9668090983071408,0.27132368087768555,15,5,1,54
135,135,0.20519999999952176,342,-245.95,0.966567396032564,0.2933295667171478,10,1,1,60
136,136,0.20879999999951337,348,-223.9,0.9663257541835559,0.2765074074268341,9,4,1,56
137,137,0.20879999999951337,348,-255.45000000000002,0.96608417274501,0.23998072743415833,11,2,0,68
138,138,0.21059999999950918,351,-227.0,0.9658426517018238,0.2447127252817154,14,5,1,54
139,139,0.20879999999951337,348,-239.60000000000002,0.9656011910388984,0.2593611478805542,9,2,1,59
140,140,0.21059999999950918,351,-254.25,0.9653597907411388,0.25937706232070923,9,3,1,62
141,141,0.20699999999951757,345,-242.75,0.9651184507934535,0.2614823579788208,12,3,1,58
142,142,0.20879999999951337,348,-240.05,0.9648771711807551,0.2534351944923401,14,5,1,60
143,143,0.20879999999951337,348,-239.75,0.9646359518879599,0.22888967394828796,16,4,1,56
144,144,0.20879999999951337,348,-239.95000000000002,0.964394792899988,0.2327551245689392,6,5,1,63
145,145,0.20699999999951757,345,-230.95,0.964153694201763,0.25662726163864136,10,3,1,56
146,146,0.2141999999995008,357,-246.6,0.9639126557782126,0.27773669362068176,10,1,1,60
147,147,0.20879999999951337,348,-236.95000000000005,0.9636716776142681,0.24275828897953033,9,2,1,63
148,148,0.20699999999951757,345,-229.50000000000003,0.9634307596948646,0.2620665431022644,12,6,1,60
149,149,0.20699999999951757,345,-260.45000000000005,0.9631899020049409,0.1966797113418579,9,2,0,67
150,150,0.20879999999951337,348,-236.70000000000002,0.9629491045294397,0.2748326063156128,9,5,1,55
151,151,0.20699999999951757,345,-244.00000000000003,0.9627083672533073,0.2921048104763031,14,2,1,57
152,152,0.20699999999951757,345,-262.15000000000003,0.962467690161494,0.230598583817482,11,3,1,56
153,153,0.20879999999951337,348,-262.40000000000003,0.9622270732389537,0.23211248219013214,14,3,1,50
154,154,0.2141999999995008,357,-245.05,0.961986516470644,0.2272043228149414,16,5,1,59
155,155,0.20879999999951337,348,-272.75,0.9617460198415264,0.20483599603176117,10,1,1,58
156,156,0.21059999999950918,351,-247.64999999999998,0.9615055833365661,0.20646144449710846,16,3,1,51
157,157,0.21059999999950918,351,-258.8,0.961265206940732,0.19486907124519348,11,1,1,69
158,158,0.20699999999951757,345,-239.8,0.9610248906389969,0.214246928691864,9,4,1,65
159,159,0.20879999999951337,348,-244.50000000000003,0.9607846344163371,0.21289315819740295,12,3,1,52
160,160,0.20879999999951337,348,-248.60000000000002,0.9605444382577331,0.22287434339523315,11,3,1,45
161,161,0.20699999999951757,345,-240.8,0.9603043021481686,0.2633048892021179,12,4,1,55
162,162,0.20879999999951337,348,-235.50000000000003,0.9600642260726316,0.22723445296287537,12,3,1,62
163,163,0.20699999999951757,345,-221.39999999999998,0.9598242100161135,0.2006767839193344,15,1,1,52
164,164,0.21239999999950498,354,-239.00000000000003,0.9595842539636095,0.21469318866729736,12,3,1,55
165,165,0.20879999999951337,348,-283.95,0.9593443579001186,0.2718477249145508,13,2,0,58
166,166,0.20879999999951337,348,-247.75,0.9591045218106437,0.18077486753463745,14,2,1,52
167,167,0.20699999999951757,345,-263.85,0.958864745680191,0.2241351306438446,11,1,0,67
168,168,0.20879999999951337,348,-242.45,0.9586250294937709,0.23497654497623444,11,2,1,55
169,169,0.20879999999951337,348,-243.29999999999998,0.9583853732363975,0.22906407713890076,10,3,1,55
170,170,0.20699999999951757,345,-297.0,0.9581457768930884,0.22479800879955292,8,4,0,68
171,171,0.20879999999951337,348,-249.85000000000002,0.9579062404488652,0.20143216848373413,12,3,1,62
172,172,0.20699999999951757,345,-235.3,0.957666763888753,0.22064901888370514,17,4,1,60
173,173,0.20699999999951757,345,-240.60000000000002,0.9574273471977809,0.24610328674316406,16,4,1,72
174,174,0.20879999999951337,348,-239.4,0.9571879903609815,0.22652402520179749,9,2,1,61
175,175,0.21239999999950498,354,-256.7,0.9569486933633913,0.21611592173576355,10,4,1,50
176,176,0.20699999999951757,345,-239.04999999999998,0.9567094561900504,0.21037647128105164,15,3,1,67
177,177,0.21059999999950918,351,-262.3,0.956470278826003,0.2298271656036377,13,3,1,59
178,178,0.20699999999951757,345,-234.8,0.9562311612562965,0.22180236876010895,11,4,1,56
179,179,0.20879999999951337,348,-235.8,0.9559921034659824,0.17044252157211304,13,5,1,56
180,180,0.20699999999951757,345,-217.3,0.9557531054401159,0.20848014950752258,16,1,1,59
181,181,0.20879999999951337,348,-264.25,0.9555141671637559,0.2081931233406067,14,2,1,57
182,182,0.20879999999951337,348,-258.4,0.955275288621965,0.23605671525001526,9,2,1,61
183,183,0.20879999999951337,348,-243.45,0.9550364697998095,0.20853766798973083,9,4,1,62
184,184,0.21059999999950918,351,-214.65,0.9547977106823595,0.22128884494304657,13,5,1,60
185,185,0.20879999999951337,348,-260.65,0.954559011254689,0.19976097345352173,8,2,1,51
186,186,0.20699999999951757,345,-291.35,0.9543203715018753,0.18567968904972076,13,2,1,58
187,187,0.21059999999950918,351,-236.05,0.9540817914089998,0.19538293778896332,12,3,1,59
188,188,0.20879999999951337,348,-241.8,0.9538432709611476,0.22471755743026733,15,2,1,50
189,189,0.20879999999951337,348,-258.95,0.9536048101434074,0.21530866622924805,11,3,1,58
190,190,0.20879999999951337,348,-257.85,0.9533664089408715,0.20148557424545288,13,3,0,62
191,191,0.21239999999950498,354,-248.75000000000003,0.9531280673386363,0.22949302196502686,9,5,1,60
192,192,0.20879999999951337,348,-272.05,0.9528897853218017,0.1919739842414856,11,2,1,48
193,193,0.20879999999951337,348,-237.45,0.9526515628754713,0.20250853896141052,14,3,1,56
194,194,0.20699999999951757,345,-244.3,0.9524133999847524,0.22202448546886444,13,1,1,63
195,195,0.20879999999951337,348,-232.85000000000002,0.9521752966347562,0.22595646977424622,11,4,1,55
196,196,0.20879999999951337,348,-259.90000000000003,0.9519372528105975,0.2124519646167755,11,2,1,54
197,197,0.20879999999951337,348,-244.90000000000003,0.9516992684973948,0.16548189520835876,14,2,1,62
198,198,0.20699999999951757,345,-261.85,0.9514613436802705,0.22079500555992126,13,3,0,64
199,199,0.20699999999951757,345,-220.25,0.9512234783443504,0.19753247499465942,15,3,1,58
200,200,0.20699999999951757,345,-265.1,0.9509856724747643,0.21038444340229034,9,3,0,68
201,201,0.21239999999950498,354,-257.1,0.9507479260566456,0.18539126217365265,11,5,1,60
202,202,0.20879999999951337,348,-246.45000000000002,0.9505102390751314,0.23491503298282623,12,2,1,61
203,203,0.20519999999952176,342,-234.85000000000002,0.9502726115153627,0.20298629999160767,12,5,1,63
204,204,0.20879999999951337,348,-267.40000000000003,0.9500350433624839,0.19509443640708923,11,2,1,63
205,205,0.20879999999951337,348,-249.85000000000002,0.9497975346016433,0.1648154854774475,9,2,1,67
206,206,0.21059999999950918,351,-207.10000000000002,0.949560085217993,0.17357471585273743,14,7,1,66
207,207,0.20699999999951757,345,-251.8,0.9493226951966884,0.19630378484725952,13,2,1,60
208,208,0.20699999999951757,345,-250.04999999999998,0.9490853645228893,0.20945075154304504,12,3,1,67
209,209,0.21059999999950918,351,-252.0,0.9488480931817586,0.20525610446929932,10,3,1,66
210,210,0.20879999999951337,348,-213.9,0.9486108811584631,0.1715371161699295,16,6,1,51
211,211,0.20519999999952176,342,-222.60000000000002,0.9483737284381736,0.19414502382278442,12,2,1,62
212,212,0.20879999999951337,348,-227.1,0.948136635006064,0.18116188049316406,10,4,1,61
213,213,0.2141999999995008,357,-251.8,0.9478996008473125,0.21553277969360352,10,5,1,58
214,214,0.20879999999951337,348,-229.15,0.9476626259471007,0.19833588600158691,11,4,1,68
215,215,0.20699999999951757,345,-235.6,0.947425710290614,0.18585030734539032,17,5,1,54
216,216,0.20879999999951337,348,-260.65000000000003,0.9471888538630413,0.1809527724981308,11,2,1,58
217,217,0.20519999999952176,342,-236.79999999999998,0.9469520566495756,0.21924814581871033,9,5,1,65
218,218,0.20699999999951757,345,-251.85,0.9467153186354132,0.18178363144397736,15,4,1,62
219,219,0.20699999999951757,345,-238.25,0.9464786398057544,0.17645418643951416,12,1,1,55
220,220,0.20879999999951337,348,-249.3,0.946242020145803,0.18165002763271332,11,5,0,64
