,Episode,Duration,Slots,Score,Epsilon,min_loss,success_rate
40,40,0.2076000000004381,519,-416.5,0.9211963166241796,0.0016692935023456812,"[17, 4, 60, 20]"
41,41,0.2076000000004381,519,-404.5,0.9193539239909312,0.0016923088114708662,"[17, 6, 60, 20]"
42,42,0.2040000000004305,510,-438.5,0.9175152161429493,0.0015994211426004767,"[15, 4, 60, 20]"
43,43,0.20520000000043304,513,-394.0,0.9156801857106633,0.0018506727647036314,"[21, 4, 60, 20]"
44,44,0.2040000000004305,510,-416.5,0.913848825339242,0.0014178846031427383,"[17, 4, 60, 20]"
45,45,0.2076000000004381,519,-427.5,0.9120211276885636,0.001963107381016016,"[17, 4, 60, 20]"
46,46,0.2040000000004305,510,-417.0,0.9101970854331864,0.001459203427657485,"[12, 6, 60, 20]"
47,47,0.2076000000004381,519,-430.0,0.9083766912623201,0.0016668308526277542,"[14, 6, 60, 20]"
48,48,0.20520000000043304,513,-445.0,0.9065599378797955,0.0019398062722757459,"[19, 2, 60, 20]"
49,49,0.20640000000043557,516,-440.5,0.9047468180040359,0.001741119660437107,"[12, 5, 60, 20]"
50,50,0.2076000000004381,519,-407.0,0.9029373243680279,0.0018244736129418015,"[16, 6, 60, 20]"
51,51,0.2076000000004381,519,-506.5,0.9011314497192918,0.0019514794694259763,"[12, 7, 60, 20]"
52,52,0.20520000000043304,513,-442.5,0.8993291868198532,0.0017854839097708464,"[16, 6, 60, 20]"
53,53,0.20640000000043557,516,-424.5,0.8975305284462135,0.0010639677057042718,"[15, 4, 60, 20]"
54,54,0.21000000000044317,525,-434.0,0.8957354673893211,0.001959586050361395,"[15, 5, 60, 20]"
55,55,0.2076000000004381,519,-428.0,0.8939439964545425,0.0019330406794324517,"[11, 6, 60, 20]"
56,56,0.20640000000043557,516,-439.0,0.8921561084616334,0.002182363299652934,"[17, 5, 60, 20]"
57,57,0.2076000000004381,519,-373.0,0.8903717962447101,0.0018587535014376044,"[16, 6, 60, 20]"
58,58,0.2112000000004457,528,-440.5,0.8885910526522206,0.002071192255243659,"[14, 3, 60, 20]"
59,59,0.2076000000004381,519,-466.5,0.8868138705469162,0.0025634765625,"[12, 5, 60, 20]"
60,60,0.20520000000043304,513,-437.5,0.8850402428058224,0.00286865234375,"[14, 5, 60, 20]"
61,61,0.20880000000044063,522,-442.0,0.8832701623202107,0.00238037109375,"[18, 4, 60, 20]"
62,62,0.2112000000004457,528,-443.0,0.8815036219955703,0.00262451171875,"[12, 6, 60, 20]"
63,63,0.20520000000043304,513,-460.0,0.8797406147515792,0.00274658203125,"[16, 0, 60, 20]"
64,64,0.20880000000044063,522,-443.0,0.877981133522076,0.00262451171875,"[15, 5, 60, 20]"
65,65,0.20880000000044063,522,-487.0,0.8762251712550319,0.002685546875,"[8, 3, 60, 20]"
66,66,0.20520000000043304,513,-448.0,0.8744727209125218,0.00244140625,"[15, 5, 60, 20]"
67,67,0.20640000000043557,516,-467.5,0.8727237754706968,0.00244140625,"[9, 6, 60, 20]"
68,68,0.20640000000043557,516,-422.0,0.8709783279197554,0.00274658203125,"[8, 4, 60, 20]"
69,69,0.2040000000004305,510,-441.0,0.8692363712639158,0.0028076171875,"[15, 6, 60, 20]"
70,70,0.20880000000044063,522,-475.5,0.867497898521388,0.0025634765625,"[16, 3, 60, 20]"
71,71,0.2076000000004381,519,-469.5,0.8657629027243453,0.00250244140625,"[16, 5, 60, 20]"
72,72,0.20640000000043557,516,-466.0,0.8640313769188966,0.00250244140625,"[15, 2, 60, 20]"
73,73,0.20880000000044063,522,-479.0,0.8623033141650589,0.002685546875,"[12, 6, 60, 20]"
74,74,0.2076000000004381,519,-500.5,0.8605787075367288,0.00244140625,"[10, 4, 60, 20]"
75,75,0.2076000000004381,519,-523.5,0.8588575501216553,0.00262451171875,"[5, 3, 60, 20]"
76,76,0.2076000000004381,519,-501.0,0.857139835021412,0.0028076171875,"[14, 3, 60, 20]"
77,77,0.20639999999984937,516,-482.5,0.8554255553513692,0.0025634765625,"[11, 3, 60, 20]"
78,78,0.20759999999951617,519,-502.0,0.8537147042406664,0.00262451171875,"[15, 4, 60, 20]"
79,79,0.21119999999950778,528,-538.0,0.8520072748321851,0.00299072265625,"[12, 6, 60, 20]"
80,80,0.20759999999951617,519,-436.0,0.8503032602825207,0.0028090139385312796,"[13, 4, 60, 20]"
81,81,0.20759999999951617,519,-440.0,0.8486026537619556,0.00347900390625,"[16, 5, 60, 20]"
82,82,0.20759999999951617,519,-483.5,0.8469054484544317,0.00311279296875,"[9, 4, 60, 20]"
83,83,0.20519999999952176,513,-538.0,0.8452116375575228,0.0032958984375,"[10, 5, 60, 20]"
84,84,0.20639999999951897,516,-479.5,0.8435212142824078,0.00286865234375,"[13, 4, 60, 20]"
85,85,0.20759999999951617,519,-489.5,0.841834171853843,0.002685546875,"[13, 5, 60, 20]"
86,86,0.20639999999951897,516,-509.5,0.8401505035101353,0.0025634765625,"[12, 3, 60, 20]"
87,87,0.20639999999951897,516,-479.0,0.838470202503115,0.00286865234375,"[13, 4, 60, 20]"
