,Episode,Duration,Slots,Score,Epsilon,min_loss,p1,p2
0,0,0.12060000000000048,201,-26.7,1,0.12799334526062012,41,51
1,1,0.12059999999999799,201,-9.73,0.9999333333333333,0.09598146378993988,61,65
2,2,0.12059999999999788,201,-8.85,0.9998666666666667,0.048358965665102005,51,65
3,3,0.11999999999999789,200,-13.259999999999998,0.9998,0.05687347799539566,57,67
4,4,0.12000000000000732,200,-18.119999999999997,0.9997333333333334,0.057024091482162476,50,76
5,5,0.12000000000000899,200,-10.21,0.9996666666666667,0.04768555611371994,54,73
6,6,0.12000000000000899,200,-13.34,0.9996,0.05631086230278015,57,62
7,7,0.12000000000000899,200,-12.5,0.9995333333333334,0.05519801750779152,57,67
8,8,0.12059999999999371,201,-6.899999999999999,0.9994666666666667,0.05352015793323517,55,70
9,9,0.12059999999998672,201,-8.760000000000002,0.9994000000000001,0.03693396598100662,62,60
10,10,0.12059999999998672,201,-12.780000000000001,0.9993333333333334,0.012387074530124664,54,65
11,11,0.12059999999998672,201,-5.43,0.9992666666666667,0.020648786798119545,53,64
12,12,0.12059999999998672,201,-14.07,0.9992000000000001,0.012358460575342178,48,57
13,13,0.12059999999998672,201,-7.229999999999999,0.9991333333333334,0.005567121785134077,53,70
14,14,0.12059999999998672,201,-9.139999999999999,0.9990666666666668,0.0073557691648602486,60,67
15,15,0.12059999999998672,201,-20.61,0.9990000000000001,0.003934758715331554,43,61
16,16,0.12059999999998694,201,-7.949999999999999,0.9989333333333335,0.0030834581702947617,55,62
17,17,0.11999999999998678,200,-10.37,0.9988666666666668,0.004683478735387325,49,57
18,18,0.11999999999998678,200,-10.93,0.9988000000000001,0.004040499217808247,50,64
19,19,0.11999999999998678,200,-15.98,0.9987333333333335,0.009141160175204277,54,67
20,20,0.11999999999998678,200,-10.379999999999999,0.9986666666666668,0.006817691959440708,52,63
21,21,0.11999999999998678,200,-13.23,0.9986000000000002,0.002741909585893154,52,71
22,22,0.11999999999998678,200,-9.54,0.9985333333333335,0.007590954191982746,62,68
23,23,0.11999999999998678,200,-15.030000000000001,0.9984666666666668,0.004625595174729824,49,71
24,24,0.11999999999998678,200,-10.25,0.9984000000000002,0.0048708319664001465,53,65
25,25,0.11999999999998678,200,-13.319999999999999,0.9983333333333335,0.002154052723199129,52,68
26,26,0.11999999999998678,200,-7.9399999999999995,0.9982666666666669,0.0032803239300847054,59,65
27,27,0.11999999999998678,200,-6.75,0.9982000000000002,0.003341507166624069,60,63
28,28,0.11999999999998678,200,-14.99,0.9981333333333335,0.004996834322810173,48,60
29,29,0.11999999999998678,200,-8.89,0.9980666666666669,0.0051585310138762,61,58
30,30,0.11999999999998678,200,-14.329999999999998,0.9980000000000002,0.0021355384960770607,48,61
31,31,0.11999999999998678,200,-15.74,0.9979333333333336,0.004312669858336449,51,69
32,32,0.11999999999998678,200,-12.059999999999999,0.9978666666666669,0.0009649898856878281,58,66
33,33,0.12000000000005118,200,-14.31,0.9978000000000002,0.0040404172614216805,55,61
34,34,0.1200000000000756,200,-16.049999999999997,0.9977333333333336,0.0019490167032927275,58,69
35,35,0.1200000000000756,200,-14.94,0.9976666666666669,0.0032539472449570894,55,67
36,36,0.1200000000000756,200,-7.829999999999998,0.9976000000000003,0.0027422094717621803,58,71
37,37,0.1200000000000756,200,-14.64,0.9975333333333336,0.002526357537135482,58,67
38,38,0.1200000000000756,200,-9.229999999999999,0.997466666666667,0.003421835834160447,57,62
39,39,0.1200000000000756,200,-10.09,0.9974000000000003,0.0020430090371519327,61,57
