,Episode,Time,Final step,Score,Epsilon,Min_loss,avg_loss
0,0,0.4050000000000003,81,4344,0.999,,0.010576211963780224
1,1,0.4049999999999659,81,4807,0.999,,0.012388392817229033
2,2,0.4049999999999555,81,5026,0.999,,0.011219334905035794
3,3,0.4049999999999554,81,5155,0.999,,0.01060975855216384
4,4,0.4049999999999665,81,3949,0.999,,0.010623310809023678
5,5,0.4000000000001336,80,4591,0.999,,0.009538362035527825
6,6,0.4000000000001336,80,4568,0.999,,0.009329675347544253
7,7,0.4000000000001336,80,5306,0.999,,0.010651107411831617
8,8,0.4000000000001336,80,4704,0.999,,0.009972301195375621
9,9,0.40000000000011093,80,5061,0.999,,0.009226960595697165
10,10,0.40499999999977554,81,4312,0.999,,0.008074854034930468
11,11,0.40499999999977554,81,5333,0.999,,0.009184831869788468
12,12,0.40499999999977554,81,5131,0.999,,0.0092357067624107
13,13,0.40499999999977554,81,5371,0.999,,0.00839519570581615
14,14,0.40499999999977554,81,4795,0.999,,0.008219592040404677
15,15,0.40499999999977554,81,4465,0.999,,0.009532828931696713
16,16,0.40499999999977554,81,4831,0.999,,0.00794389855582267
17,17,0.40499999999977554,81,4589,0.999,,0.0075519715319387615
18,18,0.40499999999977554,81,4995,0.999,,0.007734900922514498
19,19,0.40499999999990877,81,5087,0.999,,0.008053758414462209
20,20,0.40000000000048885,80,4659,0.999,,0.007516696699894965
21,21,0.40000000000048885,80,4664,0.999,,0.008419084013439715
22,22,0.40000000000048885,80,4926,0.999,,0.0074995384202338755
23,23,0.40000000000048885,80,5055,0.999,,0.007365556433796883
24,24,0.40000000000048885,80,4948,0.999,,0.007021701894700527
25,25,0.40000000000048885,80,5032,0.999,,0.00671724951826036
26,26,0.40000000000048885,80,4885,0.999,,0.007092324551194906
27,27,0.40000000000048885,80,5040,0.999,,0.006320421816781163
28,28,0.40000000000048885,80,5032,0.999,,0.007297703763470054
29,29,0.40000000000048885,80,4802,0.999,,0.007236919132992625
30,30,0.40000000000048885,80,4897,0.999,,0.0074227225268259645
31,31,0.40000000000048885,80,5284,0.999,,0.006092773284763098
32,32,0.40000000000048885,80,4666,0.999,,0.006859050481580198
33,33,0.40000000000048885,80,4756,0.999,,0.006697892735246569
34,34,0.40000000000048885,80,4411,0.999,,0.0059756869450211525
35,35,0.40000000000048885,80,5052,0.999,,0.00605936418287456
36,36,0.40000000000048885,80,4644,0.999,,0.006076352612581104
37,37,0.40000000000048885,80,4948,0.999,,0.005496363679412752
38,38,0.40000000000048885,80,4708,0.999,,0.00629703892627731
39,39,0.4000000000002206,80,4912,0.999,,0.005677355802617967
40,40,0.4049999999990561,81,4958,0.999,,0.005958796362392604
41,41,0.4049999999990561,81,4572,0.999,,0.00602360803168267
42,42,0.4049999999990561,81,5387,0.999,,0.006378057412803173
43,43,0.4049999999990561,81,4588,0.999,,0.005836072203237563
44,44,0.4049999999990561,81,4920,0.999,,0.005802176776342094
45,45,0.4049999999990561,81,4644,0.999,,0.005874162365216762
46,46,0.4049999999990561,81,4912,0.999,,0.005708217853680253
47,47,0.4049999999990561,81,4646,0.999,,0.006130574620328844
48,48,0.4049999999990561,81,5428,0.999,,0.005470527044963092
49,49,0.4049999999990561,81,4545,0.999,,0.005463835143018514
50,50,0.4049999999990561,81,4768,0.999,,0.005005942715797573
51,51,0.4049999999990561,81,4613,0.999,,0.005331464926712215
52,52,0.4049999999990561,81,4738,0.999,,0.005379813141189516
53,53,0.4049999999990561,81,4418,0.999,,0.005255659867543727
54,54,0.4049999999990561,81,3193,0.999,,0.005440056324005127
55,55,0.4049999999990561,81,5073,0.999,,0.005382711940910667
56,56,0.4049999999990561,81,4676,0.999,,0.005252804490737617
57,57,0.4049999999990561,81,4525,0.999,,0.004750078311190009
58,58,0.4049999999990561,81,5130,0.999,,0.0051263850182294846
59,59,0.4049999999990561,81,4572,0.999,,0.0047024168889038265
60,60,0.4049999999990561,81,5078,0.999,,0.005262979539111257
61,61,0.4049999999990561,81,5039,0.999,,0.00505200435873121
62,62,0.4049999999990561,81,5305,0.998001,,0.004596609971486032
63,63,0.4049999999990561,81,4935,0.998001,,0.00443742866627872
64,64,0.4049999999990561,81,4384,0.998001,,0.004775096080265939
65,65,0.4049999999990561,81,5850,0.998001,,0.004946828761603683
66,66,0.4049999999990561,81,4669,0.998001,,0.004730493761599064
67,67,0.4049999999990561,81,4922,0.998001,,0.004790639621205628
68,68,0.4049999999990561,81,4648,0.998001,,0.004028778523206711
69,69,0.4049999999990561,81,5364,0.998001,,0.003876130183925852
70,70,0.4049999999990561,81,5110,0.998001,,0.004574474587570876
71,71,0.4049999999990561,81,5080,0.998001,,0.005174297606572509
72,72,0.4049999999990561,81,5150,0.998001,,0.004227299301419407
73,73,0.4049999999990561,81,4930,0.998001,,0.004681275284383446
74,74,0.4049999999990561,81,4571,0.998001,,0.004543094313703477
75,75,0.4049999999990561,81,3527,0.998001,,0.004121644597034901
76,76,0.4049999999990561,81,3577,0.998001,,0.0035921508097089827
77,77,0.4049999999990561,81,4427,0.998001,,0.003613384149502963
78,78,0.4049999999990561,81,4930,0.998001,,0.004135728697292507
79,79,0.4000000000009827,80,4666,0.998001,,0.0040675156051293015
80,80,0.40000000000190994,80,4805,0.998001,,0.00413752839085646
81,81,0.40000000000190994,80,4990,0.998001,,0.00434693309944123
82,82,0.40000000000190994,80,5431,0.998001,,0.003807848202995956
83,83,0.40000000000190994,80,4887,0.998001,,0.004036272352095693
84,84,0.40000000000190994,80,4329,0.998001,,0.003988904180005193
